Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1074.01,0.772,5065.0,0.741671,107.356,4.62706,9.373,9.808,9.285,11.217,9.235,9.287,9.327,10.6339,0,310.761004,-72.010267,1074.01,2.8501548,0.2542742171135231,8.59255980689206,0.0270352165778879,13.9427597,671.7178232003815,15558392465.67586,0.1,2.3,13583.70396,0.5,1,0,0,0,5.0,821.0,58.0,5096.0,117.0,9848.0,Transit,5.0,58.0,117.0,1
1075.01,0.61694,3921.0,0.580337,61.4592,4.66791,9.292,9.935,9.115,12.615,9.02,9.006,8.898,11.1186,0,309.971209,-65.449699,1075.01,1.8764454,0.1674055335665529,4.179933937144335,0.0131515429408265,0.6047427,1276.265587967164,1782328945.402243,0.3,2.3,3557.5956,0.5,1,0,0,0,4.0,31.0,56.0,273.0,113.0,540.0,Transit,4.0,56.0,113.0,1
1081.01,1.066875,6027.0,1.23975,354.05,4.5,10.632,10.915,10.556,12.093,10.495,10.536,10.477,11.5247,0,282.140409,-40.11177,1081.01,11.467011,1.0230199583044255,89.97209352731893,0.2830838643131731,2.98278,1537.4831781686123,6198859436.318667,0.3,2.3,11194.3008,0.5,1,0,0,0,1.0,1.0,9.0,8.0,18.0,16.0,Eclipse,1.0,8.0,16.0,2
1082.01,0.6413,4095.0,0.649613,100.248,4.61894,10.106,10.715,9.941,13.217,9.842,9.875,9.711,11.8835,0,83.275809,-80.815478,1082.01,2.9277172,0.2611938828585016,9.01624944316094,0.0283682932553581,16.3470117,497.1405243728097,16261943819.561544,0.1,2.3,11858.78628,0.5,1,0,0,0,8.0,6307.0,108.0,48359.0,220.0,81955.0,Transit,8.0,108.0,220.0,1
1083.01,0.5004,3551.0,0.491323,68.9109,4.74501,10.065,10.702,9.889,14.158,9.756,9.657,9.557,12.0936,0,296.822194,-87.32281,1083.01,3.2077972,0.2861809897795557,10.41476007922004,0.0327684998040528,12.9802713,421.9629473222696,12837725175.100113,0.1,2.3,10183.3956,0.5,1,1,0,1,4.0,6411.0,51.0,41170.0,102.0,97162.0,Transit,4.0,51.0,102.0,1
1080.01,0.3707999999999999,3227.0,0.199988,25.559,5.06391,10.467,11.044,10.17,15.349,10.015,9.834,9.584,12.7067,0,276.368325,-52.214573,1080.01,2.034434,0.1815003566189224,4.816111314464391,0.0151531808187502,3.965347,381.8605713101039,5269391917.74154,0.1,2.3,3554.8344,0.5,1,1,0,1,1.0,6251.0,17.0,46273.0,34.0,113379.0,Transit,1.0,17.0,34.0,2
1088.01,1.108125,6093.0,1.40011,240.901,4.20265,9.493,9.781,9.448,11.105,9.397,9.427,9.403,10.4613,0,272.311383,-76.300955,1088.01,5.48364,0.4892184340066021,26.04400959921132,0.0819436181877384,1.15395,2252.613007617293,3333092548.8125777,0.3,2.3,8049.6,0.5,1,0,0,0,2.0,3.0,23.0,24.0,46.0,48.0,Transit,2.0,23.0,46.0,1
1085.01,1.11375,6102.0,1.27589,444.066,4.5,10.891,11.139,10.862,12.197,10.821,10.841,10.835,11.6577,0,77.605399,-59.535664,1085.01,14.9476,1.33353784423432,258.9362774397796,0.8147046395698667,3.2541181,1523.0162968793925,6664147078.599627,0.3,2.3,15627.6,0.5,1,0,0,0,1.0,1.0,19.0,4.0,39.0,8.0,Eclipse,1.0,4.0,8.0,2
1087.01,1.4901325000000003,6907.02,3.09235,416.25,3.63358,8.924,9.069,8.885,9.74,8.836,8.862,8.807,9.4142,0,238.001011,-76.49349,1087.01,14.2968,1.2754772573155038,184.11832567534657,0.5793010374624943,9.30992,1801.0137316054506,14798989286.293049,0.3,2.3,12470.4,0.5,1,0,0,0,5.0,2.0,49.0,13.0,97.0,26.0,Eclipse,2.0,13.0,26.0,2
1086.01,0.9896,5787.0,2.084,736.397,3.8173,11.187,11.485,11.058,12.897,11.039,11.066,11.17,12.2303,0,305.56982,-88.568495,1086.01,14.7464854,1.3155955705497118,235.8155299875312,0.7419586326915886,3.7178739,1800.924999473886,7001796109.006191,0.3,2.3,19764.38304,0.5,1,0,0,0,6.0,1.0,78.0,11.0,155.0,23.0,Eclipse,1.0,11.0,23.0,2
