Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star K Mag,Star V Mag,Star Metallicity,Star Age [Gyr],Star RA,Star Dec,Planet Name,Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Radius [Re],Planet Albedo,Planet Mass [Me],Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Eccentricity,Transit Mid Time,Transit Mid Time Flag,"Known (Y=1,N=0)",Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Best Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS Flag,Tier,Number Observations,Time [s]
181412841,1.429113945,6718.0,1.5802399999999999,460.764,10.466,12.380999999999998,,,287.86758580000003,3.949453731,181412841 b,1.017339309,2788.3783399999998,3336036670.0,17.09968481,0.3,506.34650719999996,2.3,9215.640884999999,0.021297551,1,89.59797762,0.025370425,2458484.54,1,0,2.0,1.0,25.0,1.0,50.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,23039.102212499998
25398947,0.9025049999999999,5268.0,1.50336,50.65309997,7.0329999999999995,8.96,,,22.62739367,-14.07321012,25398947 b,4.6345571230000004,1388.937934,7865385471.0,9.010975406,0.3,60.678817599999995,2.3,9270.272656000001,0.837060195,1,83.61111907,0.09752319400000001,2458487.054,1,0,1.0,1.0,1.0,1.0,2.0,2.0,Transit,1.0,1.0,2.0,0.0,2.0,1.0,23175.681640000003
289218489,1.04493,5811.0,2.5384349999999998,179.3475024,8.541,10.245999999999999,,,314.84160810000003,18.071789300000002,289218489 b,2.964629219,2254.823218,6131602165.0,15.43280349,0.3,314.7167496,2.3,9296.340121,0.9182550890000001,1,74.66883726,0.001128148,2458484.669,1,0,2.0,1.0,13.0,1.0,25.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,23240.8503025
HAT-P-30,1.365,6277.0,1.32,193.0,9.151,10.4195,0.025,1.0,123.949947,5.83669285,HAT-P-30 b,2.8105974999999996,1710.0180480000001,6468565310.0,15.25291006,0.3,244.8775954,2.3,9500.823513,0.5,1,83.6,0.0375,2458486.762,1,1,1.0,1.0,4.0,1.0,8.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,23752.058782499997
HAT-P-67,1.641,6406.0,2.048,320.0,8.9,10.3795,-0.08,1.24,256.6115935,44.77696274,HAT-P-67 b,4.810102275,1762.377625,9840950500.0,22.87936509,0.3,108.0576021,2.3,19009.18786,0.12,1,88.8,0.24,2455961.385,0,1,1.0,1.0,1.0,1.0,1.0,1.0,Transit,1.0,1.0,1.0,0.0,2.0,1.0,47522.96965
179637675,0.954708,5462.0,1.244016,103.07140940000001,8.995,11.137,,,80.5803921,-67.85854692,179637675 b,1.5784854959999999,1858.3291829999998,3908546030.0,8.535555791,0.3,55.25675255,2.3,1463.430032,0.988336757,1,77.36231181,0.00451863,2458485.14,1,0,1.0,1.0,10.0,6.0,21.0,13.0,Eclipse,1.0,6.0,13.0,0.0,2.0,6.0,21951.45048
372760636,0.8414124,5257.0,0.8694790000000001,324.80400000000003,11.265,13.392999999999999,-0.3,,173.62220359999998,29.730096500000002,372760636 b,2.3072432999999997,1345.60679,4826472969.0,17.44598067,0.3,546.1577348,2.3,6345.3314390000005,0.602504591,1,85.67060014,0.0755387,2458484.845,1,0,2.0,1.0,32.0,2.0,-99.0,3.0,Eclipse,1.0,2.0,3.0,1.0,2.0,2.0,31726.657195000003
445082412,1.06077,5907.0,1.92255,76.24945778,6.287000000000001,7.78,,,224.12455409999998,17.10302764,445082412 b,3.714821891,1845.6082210000002,7162484913.0,19.74248929,0.3,810.171366,2.3,19055.26511,0.043055910999999995,1,89.53945068,0.054458369000000006,2458484.681,1,0,1.0,1.0,2.0,1.0,3.0,1.0,Eclipse,1.0,1.0,1.0,0.0,2.0,1.0,47638.162775000004
K2-237,1.25,6178.0,1.385,388.0,10.217,11.6005,0.07,2.55,253.7688909,-28.71056396,K2-237 b,2.18055835,1903.9190440000002,5303710282.0,17.66703971,0.3,449.86922300000003,2.3,9721.282669,0.451,1,84.85,0.0,2457684.81,0,1,2.0,1.0,20.0,1.0,39.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,24303.2066725
395282599,1.10248687,5989.0,1.83309,356.335,10.257,11.902999999999999,,,302.5837971,18.19316238,395282599 b,0.8276366559999999,2994.704608,2666340442.0,13.50229305,0.3,121.20847859999998,2.3,9728.622319,0.44831362,1,77.62177118,0.02244821,2458484.7169999997,1,0,1.0,1.0,4.0,1.0,9.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,24321.5557975
147559709,0.9970620000000001,5628.0,1.23437,119.00327779999999,8.346,9.982000000000001,,,127.0332614,70.16918815,147559709 b,2.1374200119999998,1711.629292,4853614532.0,10.41705453,0.3,76.98707917,2.3,9729.913256,0.35258866200000005,1,86.42434903,0.012104753999999999,2458484.8030000003,1,0,1.0,1.0,2.0,1.0,3.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,24324.78314
393820267,0.88546,5206.0,0.806404,147.2081003,9.869,12.05,,,260.908551,14.81278116,393820267 b,6.203166466,915.0913657,9492120717.0,21.22616965,0.3,980.7397827,2.3,9813.739947,0.228403095,1,89.22673322,0.02144635,2458489.419,1,0,1.0,1.0,8.0,1.0,15.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,24534.3498675
141024799,1.04663,5817.0,2.344935,99.09812156,7.425,9.136000000000001,,,78.95999300000001,-72.08372902,141024799 b,2.463206055,2307.005435,5422041889.0,16.06993464,0.3,387.9632887,2.3,19999.356480000002,0.19156598100000002,1,86.69667188,0.089208175,2458485.793,1,0,1.0,1.0,2.0,1.0,4.0,1.0,Eclipse,1.0,1.0,1.0,0.0,2.0,1.0,49998.391200000005
254511437,0.7704025640000001,4779.0,0.795705,154.278,10.369000000000002,13.832,,,235.8068176,-43.14030529,254511437 b,5.823687346,872.1891855,8688322246.0,20.92930884,0.3,946.6117591,2.3,10073.00628,0.158446057,1,89.42173123,0.035108787,2458485.35,1,0,1.0,1.0,10.0,1.0,20.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,25182.5157
WASP-20,1.2009999999999998,5945.0,1.391,210.0,9.39,10.68,-0.0085,7.0,5.160563048,-23.93572054,WASP-20 b,4.89962845,1411.19534,8978168409.0,16.02652888,0.3,99.15874079,2.3,10106.59037,0.718,1,85.565,0.0,2455715.656,0,1,1.0,1.0,1.0,2.0,2.0,3.0,Transit,1.0,1.0,2.0,0.0,2.0,1.0,25266.475925
WASP-101,1.375,6390.0,1.3,202.39,9.075,10.3,0.2,0.9,98.350551,-23.486155,WASP-101 b,3.585721,1590.913303,7627517435.0,15.58210956,0.3,160.4973208,2.3,10123.56019,0.5,1,85.0,0.0,2458484.929,1,1,1.0,1.0,2.0,1.0,3.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,25308.900475000002
HAT-P-36,0.941333333,5573.333333,1.064,317.0,10.603,12.261,0.26,6.6,188.2643775,44.9153149,HAT-P-36 b,1.327232333,1862.356713,3465589304.0,13.45328614,0.3,550.2462602999999,2.3,6750.067534000001,0.5,1,86.0,0.062,2458485.5730000003,1,1,6.0,1.0,-99.0,2.0,-99.0,3.0,Eclipse,1.0,2.0,3.0,0.0,2.0,2.0,33750.33767
WASP-80,0.58,4144.0,0.61,60.0,8.351,11.8755,-0.135,,303.1670535,-2.144904,WASP-80 b,3.06785137,859.6437049000001,5155413699.0,10.70447033,0.3,173.52779640000003,2.3,6780.935228,0.215,1,89.47,0.036000000000000004,2456487.425,0,1,1.0,1.0,3.0,2.0,7.0,3.0,Eclipse,1.0,2.0,3.0,0.0,2.0,2.0,33904.67614
WASP-2,0.865,5175.0,0.8370000000000001,155.0,9.632,11.93,0.01,5.6,307.725271,6.4294902,WASP-2 b,2.15222372,1324.0097640000001,4650449771.0,11.79631534,0.3,279.99631610000006,2.3,5111.014168,0.7240000000000001,1,84.77,0.0,2458484.538,1,1,2.0,1.0,24.0,2.0,47.0,4.0,Eclipse,1.0,2.0,4.0,0.0,2.0,2.0,25555.07084
HAT-P-41,1.92,6434.5,1.62,344.0,9.728,11.087,0.17,2.2,297.3217255,4.672460500000001,HAT-P-41 b,2.6940485,1860.673753,7045881411.0,20.49266873,0.3,316.2273945,2.3,10260.8119,0.5,1,87.7,0.0,2458484.897,1,1,1.0,1.0,4.0,1.0,8.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,25652.02975
176985907,1.0159799999999999,5599.14,1.5891899999999999,224.53838790000003,10.166,11.911,0.203993,,101.81098840000001,-68.9531144,176985907 b,7.5307155020000005,1265.8033050000001,11308817444.0,21.73102557,0.3,1038.779558,2.3,5138.741653,0.967240722,1,84.5754093,0.032654655,2458488.62,1,0,4.0,1.0,-99.0,2.0,-99.0,4.0,Eclipse,1.0,2.0,4.0,0.0,2.0,2.0,25693.708265
172623939,0.985044,5580.0,1.378539,126.65917720000002,9.191,11.24,,,100.9209566,-27.85945319,172623939 b,1.7476992669999998,1921.743768,4226955339.0,9.201970979,0.3,62.86799737,2.3,10591.03715,0.237299907,1,86.91451344,0.06162386,2458485.544,1,0,1.0,1.0,2.0,1.0,4.0,2.0,Eclipse,1.0,1.0,2.0,0.0,2.0,1.0,26477.592875000002
HAT-P-35,1.236,6096.0,2.6275,535.0,11.03,12.46,0.11,3.5,123.250382,4.7869837,HAT-P-35 b,3.6467080000000003,2184.051321,7444544494.0,26.7858658,0.3,1362.479236,2.3,21320.73714,0.5,1,87.3,0.0275,2458487.588,1,1,3.0,1.0,36.0,1.0,-99.0,1.0,Eclipse,1.0,1.0,1.0,0.0,2.0,1.0,53301.84285
WASP-145 A,0.76,4900.0,0.68,91.54,9.193999999999999,,0.0,6.995,322.253754,-58.83614,WASP-145 A b,1.7690381000000002,1232.5914070000001,3908354676.0,8.668920107,0.3,262.1985934,2.3,1431.238041,0.97,1,83.3,0.0,2456844.165,0,1,8.0,1.0,-99.0,7.0,-99.0,15.0,Eclipse,1.0,7.0,15.0,0.0,2.0,7.0,25046.6657175
21960306,0.8224520000000001,4940.13,2.81451,163.45680330000002,7.492999999999999,9.775,0.28334899999999996,,257.76216189999997,32.30539671,21960306 b,3.853578623,1924.789323,6742862696.0,16.11401936,0.3,393.0314025,2.3,21571.68389,0.713038555,1,78.05330625,0.024014938,2458485.413,1,0,2.0,1.0,12.0,1.0,23.0,1.0,Eclipse,1.0,1.0,1.0,0.0,2.0,1.0,53929.209725
219862693,1.008608208,5674.0,1.09293,318.4976104,10.463,12.113,,,258.3103945,67.7021283,219862693 b,3.583466205,1364.207956,6876081588.0,19.72092079,0.3,807.6917855,2.3,2714.110044,0.968472888,1,83.8539406,0.022103567,2458487.8,1,0,6.0,1.0,-99.0,4.0,-99.0,8.0,Eclipse,1.0,4.0,8.0,0.0,2.0,4.0,27141.100440000002
