Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1086.01,0.9896,5787,2.084,736.397,3.8173,11.187,11.485,11.058,12.897,11.039,11.066,11.17,12.2303,0,305.56982,-88.568495,1086.01,14.7464854,1.315595571,235.81553,0.741958633,3.7178739,1800.924999,7001796109,0.3,2.3,19764.38304,0.5,1,0,0,0,6,1,78,11,155,23,Eclipse,1,11,23,2
1087.01,1.4901325,6907.02,3.09235,416.25,3.63358,8.924,9.069,8.885,9.74,8.836,8.862,8.807,9.4142,0,238.001011,-76.49349,1087.01,14.2968,1.275477257,184.1183257,0.579301037,9.30992,1801.013732,14798989286,0.3,2.3,12470.4,0.5,1,0,0,0,5,2,49,13,97,26,Eclipse,2,13,26,2
1090.01,1.6,7200,2.93941,566.502,3.70837,9.495,9.669,9.423,10.394,9.388,9.411,9.407,10.0196,0,242.016315,-68.588832,1090.01,22.7769,2.032022407,1159.016471,3.646673635,2.19296,2928.8725,5779899163,0.3,2.3,16509.6,0.5,1,0,0,0,5,1,50,1,100,1,Eclipse,1,1,1,3
1094.01,1.804,7710,2.28468,426.003,3.9781,9.382,9.531,9.364,10.286,9.174,9.193,9.447,9.9806,0,230.498827,-53.819601,1094.01,9.08382,0.810405533,61.51375796,0.193543927,0.5971314,4181.567672,2527271566,0.3,2.3,1684.8,0.5,1,0,0,0,3,2,51,24,102,49,Eclipse,2,24,49,1
1091.01,1.6592,7348,2.38732,321.671,3.90496,8.724,8.861,8.643,9.71,8.598,8.624,8.669,9.3529,0,222.101134,-56.025931,1091.01,15.0024,1.338426781,265.2362525,0.834526578,1.725841,2900.074816,4986852947,0.3,2.3,13226.4,0.5,1,0,0,0,1,1,8,1,17,2,Eclipse,1,1,2,3
1095.01,1.54975,7066,2.66473,582.521,3.77988,9.76,9.877,9.661,10.753,9.552,9.557,9.522,10.4291,0,133.968965,-75.926187,1095.01,11.9167,1.063138593,96.19409167,0.30266046,1.4821401,3135.17412,4404262349,0.3,2.3,6404.4,0.5,1,0,0,0,2,1,33,13,67,26,Eclipse,1,13,26,2
1100.01,1.070625,6033,1.14849,205.43,4.36703,9.594,9.892,9.555,11.049,9.504,9.543,9.477,10.5135,0,9.126138,-83.567067,1100.01,4.23693,0.377994226,16.93810859,0.05329325,20.0734756,784.1237946,22121808941,0.3,2.3,14558.4,0.5,1,0,0,0,9,507,105,3293,209,6699,Transit,9,105,209,1
1097.01,1.019,5876,0.983215,79.5561,4.47808,7.89,8.144,7.82,9.29,7.772,7.814,7.787,8.7215,0,189.775859,-74.57402,1097.01,2.17371,0.19392575,5.435638036,0.01710243,9.1885056,924.4785298,12924520657,0.3,2.3,8935.2,0.5,1,0,0,0,10,528,82,2663,159,5312,Transit,10,82,159,1
1097.02,1.019,5876,0.983215,79.5561,4.47808,7.89,8.144,7.82,9.29,7.772,7.814,7.787,8.7215,0,189.775859,-74.57402,1097.02,2.6136848,0.23317774,7.42838742,0.023372321,13.9028391,805.2745221,17034138988,0.3,2.3,7655.19444,0.5,1,0,0,0,9,696,77,3699,151,7178,Transit,9,77,151,1
1099.01,0.738666667,4815,0.800152,23.606,4.52382,6.085,6.57,5.967,8.23,5.894329903,5.790508931,5.643457956,7.3661,0,328.718171,-77.338802,1099.01,2.4623926,0.219680331,6.753570208,0.021249108,6.4409822,811.6931406,9161727294,0.3,2.3,6603.30288,0.5,1,0,0,0,3,110,11,325,20,543,Transit,3,11,20,2
