Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Transit Temperature [K],Eclipse Temperature [K],Planet Semi-major Axis [AU],Planet Semi-major Axis [m],Planet-Star Separation Transit [m],Planet-Star Separation Eclipse [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
EPIC 246851721,1.32,-0.04,0.04,6202,-50,52,1.59,-0.03,0.03,372.632,-17.644,19.456,4.16,-0.02,0.02,Gaia DR2 3393939026234131584,9.967,10.19900036,9.892999649,11.23999977,11.2549,9.813,9.816,9.754,8.609,0,0.141,-0.085,0.082,[Fe/H],3.02,-0.46,0.44,F5 V,78.9198197,16.2786991,EPIC 246851721 b,11.78063875,0.493195152,-0.493195152,1.051,0.044,-0.044,953.4852198,349.6112473,-381.3940879,3,1.1,-1.2,0,1,270,6.180235,-1.40E-05,1.40E-05,1356.194867,1356.194867,1356.194867,0.072352147,10816645993,10816645993,10816645993,0.3,2.3,14819.12765,0.647,1,86.21,-0.17,0.17,0,,,0,,,,7865.11032,0.0001,-0.0001,0,7868.200437,14819.12765,1,0.464,0.035,-0.035,1,2018,0,0,0,115,3,1478,19,2925,35,Eclipse,3,19,35,2
G 9-40,0.29,-0.02,0.02,3348,-32,32,0.31,-0.01,0.01,27.9276,-0.045,0.0451,4.93,-0.03,0.03,Gaia DR2 684992690384102528,9.433,10.05799961,9.18999958,13.8210001,12.7331,9.032,8.885,8.774,8.597,0,0.04,-0.11,0.1,[Fe/H],9.9,-4.1,2.6,M2.5 V,134.7188514,21.0747961,G 9-40 b,2.028825512,0.100880827,-0.100880827,0.181,0.009,-0.009,4.793527451,0,0,0.015082124,0,0,1,0,0,5.746007,-6.00E-06,6.00E-06,454.0319909,454.0319909,454.0319909,0.04158789,6217389560,6217389560,6217389560,0.1,2.3,4495.618047,0.672,1,88.57,-0.47,0.63,0,,,0,0,,,8497.77747,0.00032,-0.00033,0,8500.650474,4495.618047,1,0.365,0.032,-0.033,1,2019,1,0,1,2,2046,25,12715,49,29673,Transit,2,25,49,1
GJ 1132,0.18,-0.02,0.02,3270,-140,140,0.21,-0.01,0.01,12.613,-0.007,0.007,4.88,-0.07,0.07,Gaia DR2 5413438219396893568,8.666,9.244999886,8.32199955,13.68,12.138,8.17,8,7.862,7.916,0,-0.12,-0.15,0.15,[Fe/H],5,,,M4.5 V,153.7090696,-47.1549358,GJ 1132 b,1.132107054,0.056044904,-0.056044904,0.101,0.005,-0.005,1.659064282,0.228836453,-0.228836453,0.00522,0.00072,-0.00072,0,1,2.85,1.628931,-2.70E-05,2.70E-05,601.5701719,601.5701719,601.5701719,0.015309091,2288709157,2288709157,2288709157,0.1,2.3,2804.181914,0.38,1,86.58,-0.63,0.63,0,,,1,,,,7184.55759,0.0003,-0.0003,0,7185.372055,2804.181914,1,0.251212,0.009733,-0.009733,1,2015,0,0,0,1,207,9,1458,17,2554,Transit,1,9,17,2
GJ 3090,0.52,-0.01,0.01,3556,-70,70,0.52,-0.02,0.02,22.4751,-0.02605,0.02605,4.73,-0.03,0.03,Gaia DR2 4933912198893332224,7.536,8.168000221,7.294000149,11.40299988,10.5521,7.053,7.113,7.045,6.941,0,-0.06,-0.12,0.12,[Fe/H],,,,M2 V,20.4384281,-46.7147234,GJ 3090 b,2.129706339,0.112089807,-0.112089807,0.19,0.01,-0.01,3.340376553,0.721470483,-0.721470483,0.01051,0.00227,-0.00227,0,1,2.38,2.853136,-3.80E-05,6.40E-05,715.5894296,715.5894296,715.5894296,0.031681535,4736389505,4736389505,4736389505,0.1,2.3,4945.592626,0.631,1,87.14,-0.3,0.79,0,,,1,137,-57,73,8370.41849,0.00034,-0.00034,0,8371.845058,4945.592626,1,0.158724,0.005527,-0.005527,2,2022,0,0,0,1,76,6,384,10,682,Transit,1,6,10,2
GJ 1214,0.18,-0.01,0.01,3250,-100,100,0.21,-0.01,0.01,14.6427,-0.0372,0.0372,5.03,-0.04,0.04,Gaia DR2 4393265392167891712,9.094,9.75,8.781999588,15.1,13.0089,8.598,8.442,8.254,8.084,0,0.29,-0.12,0.12,[Fe/H],3,,,M4 V,258.8313991,4.9606795,GJ 1214 b,2.746200279,0.044835923,-0.056044904,0.245,0.004,-0.005,8.171368334,0.429068349,-0.429068349,0.02571,0.00135,-0.00135,0,1,14.36,1.58040433,-1.30E-07,1.30E-07,603.9487151,603.9487151,603.9487151,0.015003518,2243025902,2243025902,2243025902,0.1,2.3,3037.212738,0.325,1,88.7,-0.1,0.1,0,,,1,0,,,5701.413328,6.60E-05,-5.90E-05,0,5702.20353,3037.212738,1,,,,1,2009,1,0,1,1,7,2,48,3,84,Transit,1,2,3,3
GJ 1252,0.38,-0.02,0.02,3458,-133,140,0.39,-0.02,0.02,20.373,-0.0192,0.0192,4.89,-0.1,0.1,Gaia DR2 6468968316900356736,8.161,8.69699955,7.914999962,12.68,11.2364,,,,,0,0.1,-0.1,0.1,[Fe/H],3.9,-0.4,0.4,M3,306.9286462,-56.4622865,GJ 1252 b,1.188151957,0.078462865,-0.078462865,0.106,0.007,-0.007,1.318987887,0.279688998,-0.279688998,0.00415,0.00088,-0.00088,0,1,2,0.5182331,-8.40E-06,8.40E-06,1052.949156,1052.949156,1052.949156,0.009152395,1368283041,1368283041,1368283041,0.3,2.3,2650.805675,0.44,1,85,-1.8,2.1,0,,,0,90,,,8668.09744,0.00091,-0.00091,0,8668.356557,2650.805675,1,0.079726,0.004729,-0.004729,2,2020,0,0,0,1,33,11,227,22,443,Transit,1,11,22,2
GJ 3470,0.54,-0.04,0.05,3600,-100,100,0.55,-0.02,0.02,29.4214,-0.0507,0.0508,4.7,-0.05,0.05,Gaia DR2 654687847820642560,8.206,8.793999672,7.988999844,12.332,11.3537,7.807,7.783,7.683,7.786,0,0.2,-0.1,0.1,[Fe/H],1.65,-1.35,1.35,M1.5,119.7735021,15.391209,GJ 3470 b,4.573264138,0.179343692,-0.179343692,0.408,0.016,-0.016,12.57964833,1.309453035,-1.280848479,0.03958,0.00412,-0.00403,0,1,8.21,3.3366496,-3.30E-06,3.90E-06,702.7322631,703.1080652,702.7535588,0.035611897,5323978594,5319757072,5325125565,0.1,2.3,6591.587602,0.4,1,89.13,-0.34,0.26,0.017,-0.012,0.016,0,1.7,-1.2,0.96,5983.70421,,,0,5985.372535,6598.239577,1,0.653,1.50E-05,-1.50E-05,1,2012,0,0,0,1,6,2,30,3,52,Transit,1,2,3,3
GJ 357,0.34,-0.01,0.01,3505,-51,51,0.34,-0.02,0.02,9.44181,-0.00511,0.00511,4.94,-0.07,0.07,Gaia DR2 5664814198431308288,6.74,7.340000153,6.474999905,10.90600014,9.88036,,,,,0,-0.12,-0.16,0.16,[Fe/H],,,,M2.5 V,144.0074644,-21.6650634,GJ 357 b,1.199360938,0.056044904,-0.056044904,0.107,0.005,-0.005,1.840226474,0.311471838,-0.311471838,0.00579,0.00098,-0.00098,0,1,1.52,3.9306,-2.00E-06,2.00E-06,550.1780408,550.1780408,550.1780408,0.034045182,5089754700,5089754700,5089754700,0.1,2.3,4953.754392,0.307,1,89.228,-0.483,0.483,0,,,0,,,,9272.6757,0.0004,-0.0004,0,9274.641,4953.754392,1,0.0955,0.0062,-0.0062,2,2019,0,0,0,2,766,8,2505,15,5219,Transit,2,8,15,2
GJ 3473,0.36,-0.02,0.02,3347,-54,54,0.36,-0.01,0.01,27.3644,-0.0376,0.0376,4.81,-0.06,0.06,Gaia DR2 3094290054327367168,9.063,9.626999855,8.829000473,13.74,12.465,8.671,8.506,8.385,8.347,0,0.11,-0.19,0.19,[Fe/H],,,,M4,120.5936065,3.3371629,GJ 3473 b,1.266614823,0.044835923,-0.044835923,0.113,0.004,-0.004,1.859296179,0.298758702,-0.298758702,0.00585,0.00094,-0.00094,0,1,2.21,1.1980035,-1.90E-06,1.80E-06,747.2391322,747.2391322,747.2391322,0.015715553,2349475233,2349475233,2349475233,0.3,2.3,3436.44602,0.336,1,87.95,-0.45,0.47,0,,,0,,,,8492.20408,0.00043,-0.00042,0,8492.803082,3436.44602,1,0.097327,0.010812,-0.010812,2,2020,0,0,0,4,235,38,1578,76,3129,Transit,4,38,76,1
GJ 367,0.46,-0.01,0.01,3522,-70,70,0.46,-0.01,0.01,9.41263,-0.002835,0.002835,4.78,-0.03,0.03,Gaia DR2 5412250540681250560,6.045,6.631999969,5.78000021,9.979000092,9.15159,,,,,0,-0.01,-0.12,0.12,[Fe/H],,,,M1.0 V,146.121464,-45.7790165,GJ 367 b,0.694956805,0.022417961,-0.022417961,0.062,0.002,-0.002,0.632478529,0.050852545,-0.050852545,0.00199,0.00016,-0.00016,0,1,1.003,0.3219225,-2.00E-07,2.00E-07,1322.251115,1360.644593,1288.000264,0.007101394,1061658427,1002866603,1119181868,0.3,2.3,2149.56212,0.584,1,79.89,-0.85,0.87,0.06,-0.04,0.07,0,66,-108,41,8544.13635,0.0004,-0.0004,0,8544.297311,2398.874327,1,0.0212,0.0042,-0.0042,2,2021,0,0,0,3,64,18,294,34,562,Transit,3,18,34,2
GJ 9827,0.61,-0.01,0.02,4305,-49,49,0.6,0,0.01,29.661,-0.0541,0.0543,4.66,-0.01,0.02,Gaia DR2 2643842302456085888,7.379,7.984000206,7.19299984,10.10000038,9.83773,6.99,7.155,7.114,6.957,0,-0.26,-0.09,0.09,[Fe/H],10,-5,3,K6 V,351.7717763,-1.2853435,GJ 9827 b,1.580466283,0.022417961,-0.033626942,0.141,0.002,-0.003,5.139285335,0.470386042,-0.470386042,0.01617,0.00148,-0.00148,0,1,4.31,1.2089819,-7.10E-06,7.10E-06,1132.947101,1132.947101,1132.947101,0.018850083,2818087395,2818087395,2818087395,0.3,2.3,4530.620914,0.4602,1,86.07,-0.34,0.41,0,,,1,,,,7738.82586,0.00026,-0.00026,0,7739.430351,4530.620914,1,0.0586,0.0019,-0.0023,1,2017,0,0,0,6,38,51,213,101,418,Transit,6,51,101,1
GJ 436,0.47,-0.07,0.07,3586.11,-36.37,36.37,0.46,-0.02,0.02,9.75321,-0.00896,0.00898,4.79,-0.04,0.05,Gaia DR2 4017860992519744384,6.319,6.900000095,6.072999954,10.61299992,9.57148,6.017,5.69,5.76,5.58,0,0.099,-0.078,0.078,[Fe/H],6,-5,4,M2.5 V,175.5505363,26.7030669,GJ 436 b,4.169740832,0.168134711,-0.168134711,0.372,0.015,-0.015,25.40084626,2.100845768,-1.999140677,0.07992,0.00661,-0.00629,0,1,17.59,2.64388312,-5.70E-07,5.70E-07,708.0229527,707.2135014,722.6797444,0.029115052,4352700318,4363874257,4179088324,0.1,2.3,4310.999354,0.736,1,86.44,-0.16,0.17,0.13827,-0.00018,0.00018,0,351,-0.03,0.03,4510.80162,7.00E-05,-7.00E-05,0,4512.123562,4128.45238,1,0.6819,0.0028,-0.0028,1,2004,0,0,0,1,2,2,6,3,10,Transit,1,2,3,3
GJ 3929,0.31,-0.02,0.03,3384,-88,88,0.32,-0.01,0.01,15.8095,-0.0095,0.0096,4.89,-0.05,0.05,Gaia DR2 1372215976327300480,8.1,8.694000244,7.868999958,12.675,11.5109,,,,,0,-0.02,-0.12,0.12,[Fe/H],7.1,-4.9,4.1,M3.5 V,239.5775678,35.4081141,GJ 3929 b,1.087271131,0.044835923,-0.044835923,0.097,0.004,-0.004,1.75123452,0.438603201,-0.451316337,0.00551,0.00138,-0.00142,0,1,1.77,2.616235,-5.00E-06,5.00E-06,599.3695633,599.3695633,599.3695633,0.02516683,3762441118,3762441118,3762441118,0.1,2.3,4369.250412,0.11,1,88.442,-0.008,0.008,0,,,0,90,,,8956.3962,0.0005,-0.0005,0,8957.704317,4369.250412,1,0.11206,0.009002,-0.009002,2,2022,0,0,0,3,748,27,4585,52,7898,Transit,3,27,52,1
GJ 486,0.32,-0.02,0.02,3340,-54,54,0.33,-0.01,0.01,8.07426,-0.004095,0.004095,4.89,,,Gaia DR2 3735000631158990976,6.666,7.195000172,6.361999989,11.39500046,10.094,,,,,0,0.07,-0.16,0.16,[Fe/H],,,,M3.5 V,191.981531,9.7494181,GJ 486 b,1.300241765,0.067253884,-0.067253884,0.116,0.006,-0.006,2.819137966,0.111239942,-0.120774795,0.00887,0.00035,-0.00038,0,1,3.37,1.467119,-3.00E-05,3.10E-05,680.5276106,680.5276106,680.5276106,0.017296186,2585779771,2585779771,2585779771,0.3,2.3,3542.529311,0.314569323,1,88.4,-1.4,1.1,0,,,1,,,,8931.15935,0.00042,-0.00042,0,8931.892909,3542.529311,1,0.155063,0.004627,-0.004627,1,2021,0,0,0,2,64,8,272,15,465,Transit,2,8,15,2
Gaia-1,0.95,-0.07,0.07,5470,-110,110,0.95,-0.03,0.03,363.66,-3.008,3.058,4.44,-0.09,0.07,Gaia-1,11.368,11.71100044,11.26900005,13.19499969,12.9988,11.213,11.248,11.156,8.994,0,,,,,,,,,90.6436658,-0.5771099,Gaia-1 b,13.77583732,0.235388595,-0.235388595,1.229,0.021,-0.021,533.9517231,34.96112473,-34.96112473,1.68,0.11,-0.11,0,1,243,3.052524,-1.70E-05,1.70E-05,1235.562132,1235.562132,1235.562132,0.0405139,6056827984,6056827984,6056827984,0.3,2.3,8320.343167,0.682531432,1,85.73,-0.41,0.47,0,,,0,,,,8468.68524,0.00057,-0.00057,0,8470.211502,8320.343167,1,,,,1,2022,1,0,1,12,2,169,10,337,20,Eclipse,2,10,20,2
GPX-1,1.68,-0.1,0.1,7000,-200,200,1.56,-0.1,0.1,655.013,-16.269,17.102,4.27,-0.05,0.05,Gaia DR2 457317534880081152,11.221,11.357,11.181,12.316,12.2228,11.1,11.108,10.845,8.371,0,0.35,-0.1,0.1,[Fe/H],0.27,-0.15,0.09,F2,38.3691648,56.025708,GPX-1 b,16.47720167,1.120898073,-1.120898073,1.47,0.1,-0.1,6261.21961,508.5254506,-508.5254506,19.7,1.6,-1.6,0,1,2310,1.744579,-8.00E-06,8.00E-06,2220.24552,2220.24552,2220.24552,0.033740665,5044229458,5044229458,5044229458,0.3,2.3,7670.839992,0.82,1,79.9,-0.6,0.7,0,,,0,,,,8770.23823,0.0004,-0.0004,0,8771.110519,7670.839992,1,0.9,0.03,-0.03,1,2021,0,0,0,1194,1,17757,6,35310,11,Eclipse,1,6,11,2
