Star Name,Planet Name,FGS1_Signal,FGS2_Signal,Ch0_E1,Ch0_T1,Ch1_E1,Ch1_T1,Ch0_E2,Ch0_T2,Ch1_E2,Ch1_T2,Ch0_E3,Ch0_T3,Ch1_E3,Ch1_T3,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s]
381318182 b,381318182 b,90901.43437303069,133122.1838512281,88.57250857124542,7.638900487971602,32.906006672187104,17.11580050123303,1200.7815018409633,121.75346761316155,255.36066535600312,163.2715418385819,2361.9689651070657,238.53527572753924,503.05804614082723,324.69083506496634,7.638900487971602,121.75346761316155,238.53527572753924,32.906006672187104,255.36066535600312,503.05804614082723,Transit,8.0,122.0,239.0,0,0,0,1.3552779803,-0.288086,0.288086,6598.0,-6582.0,6806.25,2.027649,-1.520767,1.626158,584.3949328535331,-22.85813231576676,22.85813231576676,4.21638,-1.99656,1.99656,95.0,0.0,11.035,10.764,11.891,11.727,0.0,11.436,,,,,,,,,22.4425909645,20.0728317615,8.136915259312552,0.0,0.0,0.7415183178195173,0.0,0.0,50.71357884362103,0.0,0.0,0.1595687528209192,0.0,0.0,1.0,7.026843023665043,,,1554.1978704901626,11887237553.9038,0.0795132946749418,0.3,2.3,23482.959355312505,0.1757667559091507,1.0,88.80517359102221,0.0,0.0,0.1293091209359007,0.0,0.0,0.0,0.0,0.0,0.0,8486.040349604562,,,1.0,8489.553771116394,23482.959355312505
382472579 b,382472579 b,150118.1987493491,222432.9473783878,2208.2342880210113,23.755165188408093,337.0339435285623,44.25913710567296,28338.236623710014,343.8238651694793,2377.621654719448,414.41856804423577,57343.22654479965,671.9252692221045,4723.032155531526,823.3619012000654,23.755165188408093,343.8238651694793,671.9252692221045,337.0339435285623,2377.621654719448,4723.032155531526,Transit,24.0,344.0,672.0,0,0,0,1.31393,-0.26282,0.26282,6490.933333333333,-6371.0,6712.493,2.105245333333334,-1.93119,2.143767,460.0528625861384,-31.13077270399957,31.13077270399957,4.05,-0.16,0.16,3099.0,0.0,10.312,10.128,11.206,11.1008,0.0,10.767,-0.28,-0.12,0.12,,,,,,0.140428401952,-48.5619050493,4.970396562994378,0.0,0.0,0.4529529902710186,0.0,0.0,21.981937929729074,0.0,0.0,0.0691655075428567,0.0,0.0,1.0,15.641353504420154,,,1199.3909855837107,20057260281.980183,0.1341622761336467,0.3,2.3,31252.118601612023,0.2346281933612525,1.0,89.01857458705544,0.0,0.0,0.0894471509311841,0.0,0.0,0.0,0.0,0.0,0.0,8490.873022010084,,,1.0,8498.693698762294,31252.118601612023
299897654 b,299897654 b,22699.368551422904,37885.74349922302,6886.455804947365,64.24445192346023,1487.307874680274,207.7621850532983,94352.98328904914,1098.4882050374931,10337.530119601703,1929.0921268838974,189947.75254798643,2155.8229320666883,19882.46039736132,3823.6365937852015,64.24445192346023,1098.4882050374931,2155.8229320666883,1487.307874680274,10337.530119601703,19882.46039736132,Transit,64.0,1098.0,2156.0,0,0,0,0.9588983775185,-0.122639,0.122639,5579.0,-5413.933,6421.805,1.032859,-0.8596062,1.20945,443.7271737849637,-5.26630254712858,5.26630254712858,4.40392,-2.00409,2.00409,3058.0,0.0,11.816,11.411,13.159,12.8559,0.0,12.413,,,,,,,,,10.2898562365,-60.23349981729999,4.463977630552586,0.0,0.0,0.4068029563909903,0.0,0.0,18.377291967198552,0.0,0.0,0.0578235972750841,0.0,0.0,1.0,4.761484009704798,,,1131.2443684047005,8171787434.991333,0.0546607855183366,0.3,2.3,5746.440940188702,0.911984609597552,1.0,85.40164421220534,0.0,0.0,0.0300393083971807,0.0,0.0,0.0,0.0,0.0,0.0,8488.236795711331,,,1.0,8490.617537716184,5746.440940188702
320277444 b,320277444 b,8577.085526976698,36456.91333110668,87723885.83993326,4.803145352880278,531674.442675083,8.352283142705684,1664523715.5169716,87.93809623781162,6102935.177504643,80.98969379326688,3306006570.2200327,173.82280734513046,16797430.39308643,160.77372017178018,4.803145352880278,80.98969379326688,160.77372017178018,531674.442675083,6102935.177504643,16797430.39308643,Transit,5.0,81.0,161.0,1,0,1,0.2644999999999999,-0.038,0.038,3496.5716666666667,-3537.915,4061.883,0.28,,,54.64372438802344,-16.360113262684624,16.360113262684624,4.97754,-0.268993,0.268993,178.0,0.0,10.828,9.981,15.8,13.5656,0.0,12.38,,,,,,,,,7.7837300152100015,54.7557996045,2.9678639500306225,0.0,0.0,0.2704618904842599,0.0,0.0,9.200246490295898,0.0,0.0,0.028948299283481,0.0,0.0,1.0,20.97649245692384,,,297.19950930530564,14295360727.26553,0.0956211419883981,0.1,2.3,6828.838769742998,0.6697833247846128,1.0,89.4772090848929,0.0,0.0,0.0434793969578356,0.0,0.0,0.0,0.0,0.0,0.0,8488.791905968916,,,1.0,8499.280152197378,6828.838769742998
368674767 b,368674767 b,148564.86530250168,211709.6036845492,12.529014581739135,3.7250783883603127,6.08266068869724,6.6439309100538,166.4653709021028,55.945068492145296,49.04573225849048,62.578875738897565,341.1954634350881,109.71360254526353,97.05299469953528,124.44188570547935,3.7250783883603127,55.945068492145296,109.71360254526353,6.08266068869724,49.04573225849048,97.05299469953528,Eclipse,6.0,49.0,97.0,0,0,0,1.97368785525,-0.392896,0.392896,7209.333333333333,-5354.0,5483.0,2.7116553333333333,-1.843662,1.933575,699.2030829980949,-40.08306626100835,40.08306626100835,4.0978,-1.41927,1.41927,261.0,0.0,11.317,11.06,12.627,12.3654,0.0,11.919,,,,,,,,,12.703609251,69.90807533579999,11.556386988846947,0.0,0.0,1.0531352935295433,0.0,0.0,91.20642543879406,0.0,0.0,0.2869782785671644,0.0,0.0,1.0,5.925650557626734,,,1952.433945582741,12026746604.757393,0.0804464655836614,0.3,2.3,25650.16145393012,0.2837055607489851,1.0,87.45010493751752,0.0,0.0,0.0471610336635936,0.0,0.0,0.0,0.0,0.0,0.0,8489.802275822032,,,1.0,8492.765101100846,25650.16145393012
382532595 b,382532595 b,215514.59049668128,327255.10296678246,7.7836777411911795,8.246469458741917,2.3221270153590576,13.338559648007907,87.03622974092198,104.91939004898674,16.791067201272057,117.84301381981223,172.69275434838093,204.15269123651515,32.97420292526626,233.2598524813721,8.246469458741917,104.91939004898674,204.15269123651515,2.3221270153590576,16.791067201272057,32.97420292526626,Eclipse,2.0,17.0,33.0,0,0,0,1.789227864085,-0.221686,0.221686,6336.91,-6434.333,6657.53,3.094625333333333,-1.351702,1.447106,534.1485868027528,-41.10431332411065,41.10431332411065,3.51,-0.16,0.16,3081.0,0.0,11.322,11.063,12.352,12.088,0.0,11.765,,-0.12,0.12,,,,,,15.9279175848,-52.0100294213,15.268829938343684,0.0,0.0,1.3914507808097096,0.0,0.0,295.8658503228305,0.0,0.0,0.9309330127122992,0.0,0.0,1.0,9.892520814947485,,,1570.9320539929283,16380400371.426785,0.1095678954610487,0.3,2.3,37432.96918799207,0.0535733272793727,1.0,89.59666999404818,0.0,0.0,0.0530401304545228,0.0,0.0,0.0,0.0,0.0,0.0,8485.459653642029,,,1.0,8490.405914049503,37432.96918799207
365935838 b,365935838 b,102959.3561193014,154526.80380494322,1187.5009631167982,14.286916107919698,251.33012682370736,31.050721066453896,16286.392625082195,232.05054599989978,1879.3044303701558,301.75829298425975,32704.82226830402,455.1850504681082,3673.2884262916054,600.7904917346206,14.286916107919698,232.05054599989978,455.1850504681082,251.33012682370736,1879.3044303701558,3673.2884262916054,Transit,14.0,232.0,455.0,0,0,0,1.31298,-0.262225,0.262225,6434.306666666666,-6144.8,6601.605,1.2394843333333332,-1.221877,1.410298,318.9419055550268,-14.373545394249302,14.373545394249302,4.21333,-0.00816497,0.00816497,1917.0,0.0,10.493,10.255,11.451,11.3231,0.0,10.972,-0.226667,-0.0057735,0.0057735,,,,,,3.72215149077,35.097187601,3.965412170965597,0.0,0.0,0.3613686106796043,0.0,0.0,15.217042632268416,0.0,0.0,0.047879967650109,0.0,0.0,1.0,5.683062710096205,,,1278.6181534298116,10210311273.648994,0.0682963964792574,0.3,2.3,13344.963198261805,0.1982100706164712,1.0,89.04110111888873,0.0,0.0,0.0368511193475274,0.0,0.0,0.0,0.0,0.0,0.0,8488.479612144176,,,1.0,8491.321143499224,13344.963198261805
382521361 b,382521361 b,2083.653818685483,24585.48244503034,2048545.3440227963,2.8315701593208438,10450.10836340145,4.006880427886142,45636512.845812656,62.78547788951321,107185.97186679329,40.44300500727512,90121658.61328621,121.52472904014806,188647.1779092421,79.88756757277635,2.8315701593208438,40.44300500727512,79.88756757277635,10450.10836340145,107185.97186679329,188647.1779092421,Transit,3.0,40.0,80.0,1,0,1,0.095,-0.03,0.03,2763.0,-86.0,86.0,0.125,-0.017,0.017,18.7256126656298,,,5.22233,-0.416782,0.416782,-1.0,0.0,11.927,11.148,17.84,,0.0,14.066,,,,,,,,,12.409164,-51.868538,1.1848519018636074,0.0,0.0,0.1079757329572319,0.0,0.0,1.7473364351397738,0.0,0.0,0.005497941617837,0.0,0.0,1.0,1.7591469535904636,,,425.1966081529855,1946886327.9761112,0.0130226510232515,0.1,2.3,2203.991782486128,0.3757239345101525,1.0,89.03864581925474,0.0,0.0,0.0151456159691748,0.0,0.0,0.0,0.0,0.0,0.0,8485.194658003282,,,1.0,8486.074231480077,2203.991782486128
365903902 b,365903902 b,4840.228366718684,18572.22148138336,623466921.0785849,42.04354023679277,2586775.0434267996,92.65677753353788,10537244803.454983,773.9668087802089,23562501.54472734,862.562169328467,21756979753.145107,1533.9058830931071,59844293.27023466,1702.3736949540473,42.04354023679277,773.9668087802089,1533.9058830931071,2586775.0434267996,23562501.54472734,59844293.27023466,Transit,42.0,774.0,1534.0,1,0,1,0.364,-0.073,0.073,3594.747666666666,-3354.0,4534.47,0.357,,,103.3223,,,4.89419,-0.386616,0.386616,1918.0,0.0,11.168,10.324000000000002,15.166,13.8034,0.0,12.642,,,,,,,,,0.602422841443,35.4313041953,2.3738929019666704,0.0,0.0,0.2163332190703846,0.0,0.0,6.355211260686514,0.0,0.0,0.0199964813745099,0.0,0.0,1.0,20.77532477253628,,,328.17958019947474,15799026303.700556,0.1056791057103716,0.1,2.3,7839.187805537273,0.6028547297164474,1.0,89.45714751992881,0.0,0.0,0.0578385155699436,0.0,0.0,0.0,0.0,0.0,0.0,8495.735662720632,,,1.0,8506.1233251069,7839.187805537273
303320256 b,303320256 b,569926.7312768794,951220.2037142281,2615.048723471433,9.714646808069887,317.68607003613386,14.133753836287331,32159.107849976583,123.46462408999312,2428.592749998156,126.46272985016085,62705.398228727965,240.34484496281172,4785.320900531686,250.273984788052,9.714646808069887,123.46462408999312,240.34484496281172,317.68607003613386,2428.592749998156,4785.320900531686,Transit,10.0,123.0,240.0,0,0,0,1.00256905597,-0.124279,0.124279,5620.844333333333,-5406.0,5696.5,1.0281904666666666,-0.8742155,0.9706947,88.15479456257378,-14.188741979442543,14.188741979442543,4.36959,-2.00384,2.00384,1878.0,0.0,8.547,8.136,9.778,9.5339,0.0,9.114,,,,,,,,,12.253518296,14.2115955965,1.9406194834949613,0.0,0.0,0.1768489469374833,0.0,0.0,4.438345620833808,0.0,0.0,0.0139651212052789,0.0,0.0,1.0,4.521470338335668,,,1148.3699598318951,8012890401.696059,0.0535979291083348,0.3,2.3,10155.740612295853,0.4464071469788986,1.0,87.716740755753,0.0,0.0,0.1060361269430414,0.0,0.0,0.0,0.0,0.0,0.0,8485.9651208641,,,1.0,8488.225856033268,10155.740612295853
385116051 b,385116051 b,4951.036871930791,21044.388728566642,40972130.991615415,11.172867274922112,123083.13002880603,22.38836538666898,799629991.3550206,208.6206721138907,1295125.012416674,211.27417785423296,1524234736.5435767,412.49420284664063,2241969.995768213,417.3433067138392,11.172867274922112,208.6206721138907,412.49420284664063,123083.13002880603,1295125.012416674,2241969.995768213,Transit,11.0,209.0,412.0,1,0,1,0.252,-0.055,0.055,3503.61,-3648.453,4172.53,0.267,,,68.5828177119908,-9.315445455346325,9.315445455346325,4.98681,-0.414223,0.414223,1821.0,0.0,11.55,10.747,15.917,14.3465,0.0,13.242,,,,,,,,,20.5907229679,16.1237077766,2.263953288161924,0.0,0.0,0.2063144054423426,0.0,0.0,5.855612731801998,0.0,0.0,0.018424509607124,0.0,0.0,1.0,9.623473740147404,,,380.1040966734983,8367314065.816571,0.0559686559586392,0.1,2.3,6286.959208568467,0.1264341676233017,1.0,89.83922631105524,0.0,0.0,0.1434912794112398,0.0,0.0,0.0,0.0,0.0,0.0,8493.35024818359,,,1.0,8498.161985053663,6286.959208568467
