Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star Rotational Velocity [km/s],Star Rotational Velocity Error Lower [km/s],Star Rotational Velocity Error Upper [km/s],Star Rotation Period [days],Star Rotation Period Error Lower [days],Star Rotation Period Error Upper [days],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star Parallax [mas],Star Parallax Error Lower [mas],Star Parallax Error Upper [mas],HD ID,HIP ID,TIC ID,Gaia ID,Star B Mag,Star V Mag,Star H Mag,Star I Mag,Star J Mag,Star Ks Mag,Star u Mag,Star g Mag,Star r Mag,Star i Mag,Star z Mag,Star TESS Mag,Star Kepler Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star RA,Star Dec,Proper Motion [mas/yr],Total Proper Motion Error Lower [mas/yr],Total Proper Motion Error Upper [mas/yr],RA Proper Motion [mas/yr],RA Proper Motion Error Lower [mas/yr],RA Proper Motion Error Upper [mas/yr],Dec Proper Motion [mas/yr],Dec Proper Motion Error Lower [mas/yr],Dec Proper Motion Error Upper [mas/yr],Planet Name,Planet Radius [Rjup],Planet Radius Error Lower [Rjup],Planet Radius Error Upper [Rjup],Rp/Rs,Rp/Rs Error Lower,Rp/Rs Error Upper,Msin(i) [Mj],Msin(i) Error Lower [Mj],Msin(i) Error Upper [Mj],Planet Mass [Mjup],Planet Mass Error Lower [Mjup],Planet Mass Error Upper [Mjup],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Error Lower [m/s],Radial Velocity Amplitude Error Upper [m/s],Planet Density [g/cm3],Planet Density Error Lower [g/cm3],Planet Density Error Upper [g/cm3],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Semi-major Axis [au],Planet Semi-major Axis Error Lower [au],Planet Semi-major Axis Error Upper [au],a/Rs,a/Rs Error Lower,a/Rs Error Upper,Inclination,Inclination Error Lower,Inclination Error Upper,Impact Parameter,Impact Parameter Error Lower,Impact Parameter Error Upper,Eccentricity,Eccentricity Error Lower,Eccentricity Error Upper,Periastron,Periastron Error Lower,Periastron Error Upper,Projected Obliquity,Projected Obliquity Error Lower,Projected Obliquity Error Upper,True Obliquity,True Obliquity Error Lower,True Obliquity Error Upper,Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hrs],Transit Duration Error Lower [hrs],Transit Duration Error Upper [hrs],Eclipse Depth [%],Eclipse Depth Error Lower [%],Eclipse Depth Error Upper [%],Transit Flag,RV Flag,Survey,Discovery Year,Publication,Publication Date,Controversial Flag,Solution Type,Number of Transmission Spectra,Number of Emission Spectra,TTV Flag,Eclipse Flag,Publication Year,Publication Month,No. Desired Parameters,Prime Source,Inferred Parameters,ExoClock Orbital Parameters,Uniform Stellar Parameters,Calculated Parameters,Planet Albedo,Mean Molecular Weight,Heat Redistribution Factor,Assumed Parameters,ExoClock Priority,Transit Mid Time [days],ExoClock Ephemeris,Replaced Values,Transit,Transit Impact Parameter,Eclipse,Eclipse Impact Parameter,Transit Duration T14 [s],Transit Duration T12 [s],Transit Duration T23 [s],Eclipse Duration E14 [s],Eclipse Duration E12 [s],Eclipse Duration E23 [s],Planet Temperature [K],Planet Transit Temperature [K],Planet Eclipse Temperature [K],Eclipse Mid Time,Mass Flag,Planet Radius [Re],Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Insolation Flux [W/m2],Planet Insolation Flux Error Upper [W/m2],Planet Insolation Flux Error Lower [W/m2],Planet Insolation Flux [Earth],Planet Insolation Flux Error Upper [Earth],Planet Insolation Flux Error Lower [Earth],Available Transits,Available Eclipses,Planet Semi-major Axis [m],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
HAT-P-40,1.512,,0.109,6080,,100,2.206,,0.061,,,,,,,,2.7,-0.3,0.9,,6.9,,0.5,,,,464.469,-6.361,6.537,2.12459,-0.0296627,0.0296627,,,TIC 199671901,Gaia DR2 1962153854973972096,12.192,11.34000015,10.085,,10.36699963,10.00899982,,,,,,10.9726,,11.4162,9.975,10.011,9.959,8.31,335.5129199,45.4573423,10.4684584,-0.0404412,0.0404412,8.96222,-0.039832,0.039832,-5.40992,-0.0420678,0.0420678,HAT-P-40b,1.73,-0.062,0.062,0.0807,-0.0014,0.0014,,,,0.615,-0.038,0.038,58.1,-2.9,2.9,0.15,-0.01,0.01,4.4572184,1.20E-06,1.20E-06,0.0608,-0.0015,0.0006,5.92,-0.14,0.06,88.3,-0.9,0.9,0.174,-0.077,0.091,0,,,0,,,,,,,,,2455813.176,0.00042,0.00042,0.404,,,6.1368,-0.0336,0.0336,,,,1,1,HATNet,2012,<a refstr=HARTMAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012AJ....144..139H/abstract target=ref> Hartman et al. 2012 </a>,2012-11,0,Published Confirmed,0,1,FALSE,TRUE,2012,11,11,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",medium,2456651.134,TRUE,"Star Age [Gyr], ",TRUE,0.175624165,TRUE,0.175624165,22211.0762,1722.383235,18766.30973,22211.0762,1722.383235,18766.30973,1766.964109,1766.964109,1766.964109,2455815.404,FALSE,19.39153666,,,,195.4644701,12.07747945,-12.07747945,2323619.44,124387.22,98514.48,1707.070011,91.38230184,72.37463741,132,126,9095550539,1,4,8,1,2,3,Eclipse,1,2,3,0,0,0,3
TOI-824,0.71,-0.031,0.032,4600,-100,110,0.695,-0.027,0.027,4.605,-0.026,0.026,-0.092,-0.077,0.076,[Fe/H],7.5,-2.9,1.8,K4 V,2.165,-0.21,0.21,,,,63.9262,-0.1428,0.1435,15.6142,-0.0347774,0.0347774,,,TIC 193641523,Gaia DR2 5880886001621564928,12.101,11.15299988,8.557,,9.145000458,8.43200016,,,,,,10.0732,,10.7616,8.154,8.326,6.948,3.372,222.1654705,-57.5888666,160.8920224,-0.0777709,0.0777709,-51.6035,-0.0683486,0.0683486,-152.392,-0.0787793,0.0787793,TOI-824b,0.26104024,-0.01703988,0.01802123,0.0387,-0.0019,0.0018,,,,0.05810339,-0.00589938,0.0057987,13.2,-1.3,1.2,4.03,-0.78,0.98,1.392975,1.30E-06,1.30E-06,0.02177,-0.00032,0.00032,6.73,-0.21,0.22,83.65,-0.38,0.39,0.745,-0.024,0.022,0,,,0,,,,,,,,,2458639.604,0.00031,0.00031,0.149,-0.014,0.014,1.15344,-0.0192,0.01944,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2020,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..153B/abstract target=ref>Burt et al. 2020</a>,2020-10,0,Published Confirmed,0,0,FALSE,FALSE,2020,10,12,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",high,2458983.669,TRUE,,TRUE,0.744349197,TRUE,0.744349197,4157.496559,334.2890898,3488.91838,4157.496559,334.2890898,3488.91838,1253.820314,1253.820314,1253.820314,2458640.3,FALSE,2.92599502,,,,18.46690786,1.842991581,-1.874990545,564636.71,72897.92,61997.06,414.8159454,53.55517817,45.54675352,333,331,3256745645,7,76,152,11,86,168,Transit,7,76,152,0,0,0,1
Qatar-1,0.838,-0.041,0.043,5013,-88,93,0.803,-0.016,0.016,4.552,-0.011,0.012,0.171,-0.094,0.097,[Fe/H],2.7,-1,1,,1.76,-0.21,0.21,30,-7,7,185.615,-0.797,0.805,5.35866,-0.0230701,0.0230701,,,TIC 236887394,Gaia DR2 2244830490514284928,13.384,12.84000015,10.527,,10.9989996,10.4090004,,,,,,11.8478,,12.4764,10.325,10.395,10.336,9.358,303.3818697,65.1623313,59.5264366,-0.0409671,0.0409671,12.6361,-0.0483392,0.0483392,58.1698,-0.0405862,0.0405862,Qatar-1b,1.143,-0.025,0.026,0.14629,-0.00064,0.00063,1.287,-0.048,0.052,1.294,-0.049,0.052,261.6,-5.5,5.5,1.076,-0.053,0.057,1.420024443,4.90E-08,4.90E-08,0.02332,-0.0004,0.0004,6.247,-0.065,0.067,84.08,-0.15,0.16,0.645,-0.011,0.01,0,,,0,,,,,,,,,2456234.103,3.80E-05,3.80E-05,2.14,-0.019,0.019,1.66104,-0.00792,0.00792,0.196,-0.051,0.071,1,1,Qatar,2010,<a refstr=COLLINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...78C/abstract target=ref>Collins et al. 2017</a>,2017-02,0,Published Confirmed,2,3,TRUE,TRUE,2017,2,12,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2457475.204,TRUE,"Star Age [Gyr], Star Rotation Period [days], Eclipse Depth [%], ",TRUE,0.644314001,TRUE,0.644314001,5982.069009,1228.596179,3524.87665,5982.069009,1228.596179,3524.87665,1418.230934,1418.230934,1418.230934,2456234.813,FALSE,12.81186498,,,,411.2699581,16.52707714,-15.57359192,924411.07,53923.61,66598.89,679.1277385,39.6155136,48.92753345,877,878,3488622345,3,31,62,1,2,3,Eclipse,1,2,3,0,0,0,3
HD260655,0.439,-0.011,0.011,3803,-10,10,0.439,-0.003,0.003,5.2,-0.07,0.07,-0.43,-0.04,0.04,[Fe/H],5,-3,3,M0 V,2,,,37.5,-0.4,0.4,10.0055,-0.00505,0.00505,99.9164,-0.0503102,0.0503102,HD 260655,HIP 31635,TIC 307809773,Gaia DR2 3359074685047632640,11.041,9.593000412,6.031,,6.673999786,5.861999989,,,,,,7.89863,,8.876041,,,,,99.2915429,17.5662696,835.8253883,-0.0859598,0.0859598,-764.522,-0.0880208,0.0880208,337.802,-0.0745146,0.0745146,HD260655c,0.13676533,-0.00410385,0.00454992,0.032,-0.001,0.001,,,,0.00972223,-0.00151025,0.00151025,1.92,-0.3,0.3,4.7,-0.8,0.9,5.70588,7.00E-05,7.00E-05,0.04749,-0.00039,0.00039,23.37,-0.47,0.47,87.79,-0.08,0.08,0.89,-0.008,0.007,0.038,-0.022,0.036,-25,-116,156,,,,,,,2459490.365,0.0004,0.0004,0.102492924,,,0.98,-0.02,0.02,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2022,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,2022-04,0,Published Confirmed,0,0,FALSE,FALSE,2022,4,13,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",high,2459490.365,TRUE,,TRUE,0.91458536,TRUE,0.885674104,3262.890047,549.3461973,2164.197652,3501.05978,459.6369992,2581.785781,556.2653026,552.1793719,561.1194563,2459493.343,FALSE,1.532999949,,,,3.090000869,0.480000351,-0.480000351,21754.76,860.49,1136.82,15.98234967,0.632167492,0.83517606,63,63,7104402880,3,14,25,839,2570,5491,Transit,3,14,25,0,0,0,2
TOI-905,0.968,-0.068,0.061,5570,-140,150,0.918,-0.036,0.038,4.498,-0.027,0.025,0.14,-0.18,0.22,[Fe/H],3.4,-2.3,3.8,,,,,,,,158.649,-0.718,0.725,6.27445,-0.0284693,0.0284693,,,TIC 261867566,Gaia DR2 5795534040654879744,12.088,11.25500011,9.51,,9.890000343,9.447999954,,,,,,10.5721,,11.0813,9.372,9.433,9.291,9.151,227.6586754,-71.3616316,48.5902619,-0.0466446,0.0466446,-25.8394,-0.032605,0.032605,-41.1502,-0.0511315,0.0511315,TOI-905b,1.171,-0.051,0.053,0.131083992,-0.001144304,0.001220591,,,,0.667,-0.041,0.042,89.1,-3.6,3.8,0.515,-0.057,0.063,3.7395671,1.30E-06,1.30E-06,0.04666,-0.0011,0.00096,10.92963005,,,85.68,-0.26,0.22,0.816,-0.012,0.01,0.024,-0.017,0.025,39,-82,61,,,,,,,2458643.309,0.00011,0.00011,1.718,-0.03,0.032,2.028,-0.036,0.0264,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2020,<a refstr=DAVIS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..229D/abstract target=ref>Davis et al. 2020</a>,2020-11,0,Published Confirmed,0,0,FALSE,FALSE,2020,11,12,TRUE,,FALSE,FALSE," a/Rs, Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",low,2459185.546,TRUE,,TRUE,0.810577194,TRUE,0.835438097,7337.580472,2214.145374,2909.289725,7309.778491,2510.710015,2288.358462,1191.34478,1200.653752,1182.654353,2458645.223,FALSE,13.12571644,,,,211.9915472,13.34879308,-13.03096467,461143.69,61737.2,72981.68,338.7837743,45.3558448,53.61671328,158,159,6980236647,1,7,13,1,3,5,Eclipse,1,3,5,0,0,0,2
Gaia-1,0.949,-0.066,0.066,5470,-110,110,0.952,-0.025,0.025,,,,,,,,,,,,,,,,,,363.66,-3.008,3.058,2.72112,-0.0227605,0.0227605,,,TIC 11755687,Gaia-1,13.956,13.19499969,11.368,,11.71100044,11.26900005,15.4878,13.7916,13.0682,13.0552,13.2406,12.4821,,12.9988,11.213,11.248,11.156,8.994,90.6436658,-0.5771099,41.1104394,-0.0428576,0.0428576,5.93345,-0.0424305,0.0424305,-40.68,-0.0428666,0.0428666,Gaia-1b,1.229,-0.021,0.021,0.132663172,,,,,,1.68,-0.11,0.11,243,-16,16,,,,3.052524,1.70E-05,1.70E-05,0.04047,-0.00094,0.00094,9.141125357,,,85.73,-0.41,0.47,0.680617038,,,0,,,0,,,,,,,,,2458468.685,0.00057,0.00057,1.759951726,,,,,,,,,1,1,European Space Agency (ESA) Gaia Satellite,2022,<a refstr=PANAHI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510197P/abstract target=ref>Panahi et al. 2022</a>,2022-05,0,Published Confirmed,0,0,FALSE,FALSE,2022,5,8,TRUE,,FALSE,FALSE," a/Rs, Transit Impact Parameter, Rp/Rs, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2458468.685,TRUE,,TRUE,0.680617038,TRUE,0.680617038,8351.623202,1698.807463,4954.008275,8351.623202,1698.807463,4954.008275,1279.300284,1279.300284,1279.300284,2458470.212,FALSE,13.77583732,,,,533.9517231,34.96112473,-34.96112473,615931.39,74668.78,70696.31,452.5000896,54.85615798,51.9377436,127,129,6054225827,11,158,315,2,9,17,Eclipse,2,9,17,1,0,1,2
TOI-1136,1.022,-0.027,0.027,5770,-50,50,0.968,-0.036,0.036,4.47,-0.04,0.04,0.07,-0.06,0.06,[Fe/H],0.7,-0.15,0.15,,6.7,-0.6,0.6,,,,84.5362,-0.1577,0.1583,11.8003,-0.0219459,0.0219459,,,TIC 142276270,Gaia DR2 1677343097418015488,10.159,9.529999733,8.088,,8.362999916,8.034000397,,,,,,8.9361,,9.36789,7.954,7.986,7.961,8.041,192.1848981,64.8552755,10.2137503,-0.0344021,0.0344021,0.93678,-0.0392013,0.0392013,-10.1707,-0.0343585,0.0343585,TOI-1136c,0.25684762,-0.00553128,0.00535285,0.02725,-0.00057,0.00053,,,,0.02391227,-0.01573176,0.01604639,2.617226099,,,,,,6.25725,0.00017,0.00017,0.066624454,,,14.8,-0.32,0.37,89.42,-0.55,0.39,0.15,-0.1,0.14,0.117,-0.028,0.028,-113,-4,7.3,,,,,,,2458688.771,-0.000286184,0.000286184,0.074348338,,,3.27,-0.15,0.011,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2022,<a refstr=DAI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221009283D/abstract target=ref>Dai et al. 2022</a>,2022-10,0,Published Confirmed,0,0,TRUE,FALSE,2022,10,12,TRUE,,FALSE,FALSE," Planet Semi-major Axis, Transit Depth, Radial Velocity Amplitude, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",high,2458688.721,TRUE,"Planet Mass [Mj], Transit Mid Time, ",TRUE,0.165600708,TRUE,0.133398746,13130.35864,358.3411088,12413.67643,10628.32846,287.3941222,10053.54021,1060.547092,1008.738723,1123.916157,2458691.716,FALSE,2.879000023,,,,7.599998672,5.099998565,-5.000000214,288880.16,16757.85,15841.07,212.2286677,12.3113203,11.6377988,131,133,9966876480,3,20,37,51,281,541,Transit,3,20,37,0,0,0,2
TOI-4406,1.19,-0.03,0.03,6219,-70,70,1.29,-0.01,0.01,4.29,-0.02,0.02,0.1,-0.05,0.05,[Fe/H],2.9,-0.7,0.7,,4.5,-0.3,0.3,,,,261.834,-1.726,1.75,3.79045,-0.025161,0.025161,,,TIC 206541859,Gaia DR2 4910452812646300544,11.613,11.0880003,9.769,,10.0340004,9.729999542,,,,,,10.5663,,10.9545,9.693,9.721,9.681,8.565,18.0485164,-56.9253875,39.4190515,-0.0393601,0.0393601,34.4762,-0.0400432,0.0400432,19.1116,-0.0370499,0.0370499,TOI-4406b,1,-0.02,0.02,0.079,-0.001,0.001,,,,0.3,-0.03,0.03,17,-2,2,,,,30.08364,5.00E-05,5.00E-05,0.201,-0.005,0.005,33.5,-0.7,0.7,88.48,-0.04,0.04,0.887,-0.008,0.008,0.15,-0.04,0.05,39,-15,18,,,,,,,2458372.194,0.001,0.001,0.634587431,,,,,,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2023,<a refstr=BRAHM_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230402139B/abstract target=ref>Brahm et al. 2023</a>,2023-04,0,Published Confirmed,0,0,FALSE,FALSE,2023,4,13,TRUE,,FALSE,FALSE," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",high,2458372.194,TRUE,,TRUE,0.793699801,Semi-Grazing,0.959167027,16315.37662,2943.705006,10427.96661,13331.20098,6665.593371,0.014235597,759.7717745,803.9192525,731.2964157,2458389.473,FALSE,11.20898073,,,,95.34852198,9.534852198,-9.534852198,75637.36,5164.86,4357.9,55.56773486,3.794415499,3.201574351,20,27,30069172011,2,17,33,41,255,541,Transit,2,17,33,0,0,0,2
TOI-1130,0.712,-0.017,0.017,4350,-60,60,0.695,-0.015,0.015,4.62,-0.04,0.04,0.3,-0.06,0.06,[Fe/H],4.1,-0.9,0.9,K6-K7,2.5,-0.9,0.9,25.6,-1.2,1.2,58.2609,-0.1691,0.17,17.1355,-0.0495743,0.0495743,,,TIC 254113311,Gaia DR2 6715688452614516736,12.422,11.59000015,8.493,,9.055000305,8.350999832,,,,,,10.1429,,10.9028,8.266,8.339,8.244,8.472,286.3760037,-41.4376399,29.9323414,-0.0744053,0.0744053,12.5383,-0.0881018,0.0881018,-27.1797,-0.0711512,0.0711512,TOI-1130b,0.31760247,-0.01159784,0.01159784,0.047,-0.0011,0.27,,,,0.06066166,-0.00305196,0.00305196,9.688343049,,,2.34,-0.26,0.26,4.079539,2.60E-05,2.60E-05,0.04457,-0.00036,0.00036,13.77,-0.27,0.27,92.14,-0.26,0.26,-0.518,-0.054,0.054,0.0541,-0.0015,0.0015,144.24,-0.72,0.72,,,,,,,2458658.741,0.0013,0.0013,0.220530682,,,,,,,,,1,1,Transiting Exoplanet Survey Satellite (TESS),2020,<a refstr=KORTH_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.115K/abstract target=ref>Korth et al. 2023</a>,2023-07,0,Published Confirmed,0,0,TRUE,FALSE,2023,7,13,TRUE,,FALSE,FALSE," Transit Depth, Radial Velocity Amplitude, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",alert,2458866.575,TRUE,"Star Rotational Velocity [km/s], ",TRUE,0.496973523,TRUE,0.529423655,7278.285603,428.5251973,6421.235209,7599.713959,466.9393118,6665.835335,828.9098282,843.1458634,816.8976915,2458660.666,FALSE,3.559999966,,,,19.27999874,0.969999584,-0.969999584,98109.35,8583.97,6581.43,72.07700465,6.306298489,4.835112665,91,91,6667577097,3,29,58,,,,Transit,3,29,58,0,0,0,1
WASP-101,1.41,-0.3,0.3,6380,-120,120,1.31,-0.08,0.08,4.31,-0.08,0.08,0.2,,,[Fe/H],0.9,-0.4,1.3,,12.4,-0.5,0.5,,,,201.224,-1.139,1.152,4.94086,-0.0280704,0.0280704,,,TIC 47911178,Gaia DR2 2924661867160818304,10.783,10.34000015,9.124,,9.333999634,9.074999809,,,,,,9.79059,,10.138,9.041,9.071,9.028,8.748,98.3511016,-23.486086,25.1234217,-0.0425561,0.0425561,-2.56929,-0.026998,0.026998,24.9917,-0.0426903,0.0426903,WASP-101b,1.43,-0.09,0.09,0.112176061,-0.000891456,0.000891456,,,,0.51,-0.08,0.08,54,-4,4,,,,3.585707,2.60E-07,2.60E-07,0.051478347,,,8.45,-0.3,0.3,85,-0.2,0.2,0.736466026,,,0,,,0,,,,,,,,,2450000,8.60E-05,8.60E-05,1.3,-0.02,0.02,,,,,,,1,1,SuperWASP,2014,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2017-03,0,Published Confirmed,2,1,FALSE,TRUE,2017,3,10,TRUE,,FALSE,FALSE," Planet Semi-major Axis, Transit Impact Parameter, Rp/Rs, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Transit Mid Time, ",high,2458387.833,TRUE,"Star Age [Gyr], Star Rotational Velocity [km/s], ",TRUE,0.736466026,TRUE,0.736466026,9779.183319,1983.605543,5811.972233,9779.183319,1983.605543,5811.972233,1551.948575,1551.948575,1551.948575,2450001.793,FALSE,16.02884245,,,,162.0924874,25.42627253,-25.42627253,1322158.39,124371.26,123749.85,971.3367424,91.37057666,90.91405166,151,150,7701051150,1,2,3,1,1,2,Eclipse,1,1,2,0,0,0,3
NGTS-9,1.34,-0.05,0.05,6330,-130,130,1.38,-0.04,0.04,4.37,-0.2,0.2,0.31,-0.15,0.15,[Fe/H],0.96,-0.6,0.6,F8 V,6.38,-1.05,1.05,,,,609.128,-15.171,15.952,1.61358,-0.0416065,0.0416065,,,TIC 176685457,Gaia DR2 5678340222972504832,13.361,12.80000019,11.488,,11.71199989,11.45199966,,,,,,12.2682,,12.6547,11.385,11.421,11.579,8.989,141.9206435,-19.3476477,6.3171824,-0.0575518,0.0575518,-6.07776,-0.0570635,0.0570635,1.72268,-0.0633151,0.0633151,NGTS-9b,1.07,-0.06,0.06,0.08,-0.004,0.004,,,,2.9,-0.17,0.17,293.44,-15.08,15.08,2.93,-0.49,0.53,4.435272,1.10E-05,1.10E-05,0.058,-0.002,0.003,9.06,-0.31,0.31,84.1,-0.4,0.4,0.925651733,,,0.06,-0.052,0.076,0,,,,,,,,,2457671.811,0.0019,0.0019,0.634863369,,,2.05,-0.07,0.07,,,,1,1,Next-Generation Transit Survey (NGTS),2019,<a refstr=COSTES_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.491.2834C/abstract target=ref>Costes et al. 2020</a>,2020-01,0,Published Confirmed,0,0,FALSE,FALSE,2020,1,11,TRUE,,FALSE,FALSE," Transit Impact Parameter, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Periastron, ",alert,2458518.948,TRUE,,Semi-Grazing,0.927947702,Semi-Grazing,0.927947702,7470.36745,3735.183725,0,7470.36745,3735.089808,0.187834601,1487.04672,1489.730653,1489.730653,2457674.198,FALSE,11.99360938,,,,921.7023791,54.03082912,-54.03082912,1093048.5,116357.82,105178.94,803.0188949,85.48342368,77.27074889,89,88,8676676501,311,4612,9172,8,59,117,Eclipse,8,59,117,1,0,1,1
KELT-16,1.211,-0.046,0.043,6236,-54,54,1.36,-0.053,0.064,4.253,-0.036,0.031,-0.002,-0.085,0.086,[Fe/H],3.1,-0.3,0.3,F7 V,7.6,-0.5,0.5,,,,444.586,-5.441,5.574,2.22084,-0.0276501,0.0276501,,,TIC 236445129,Gaia DR2 1864885215233116032,12.281,11.72000027,10.692,,10.92800045,10.6420002,,,,,,11.4373,,11.7959,10.594,10.595,10.483,9.104,314.2685227,31.6610186,6.0789081,-0.0359262,0.0359262,5.58139,-0.0352092,0.0352092,2.40857,-0.039555,0.039555,KELT-16b,1.415,-0.067,0.084,0.107,-0.0012,0.0013,2.74,-0.15,0.15,2.75,-0.15,0.16,494,-25,25,1.2,-0.18,0.18,0.968992962,9.70E-08,9.70E-08,0.02044,-0.00026,0.00024,3.23,-0.13,0.12,84.4,-2.3,3,0.32,-0.16,0.11,0,,,0,,,,,,,,,2457247.248,7.80E-05,7.80E-05,1.146,-0.025,0.029,2.4888,-0.024,0.0312,,,,1,1,KELT,2017,<a refstr=OBERST_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...97O/abstract target=ref>Oberst et al. 2017</a>,2017-03,0,Published Confirmed,0,0,FALSE,FALSE,2017,3,12,TRUE,,FALSE,FALSE, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2458392.598,TRUE,,TRUE,0.315192766,TRUE,0.315192766,8965.449896,979.2014865,7007.046923,8965.449896,979.2014865,7007.046923,2453.521384,2453.521384,2453.521384,2457247.732,FALSE,15.86070773,,,,874.0281181,50.85254506,-47.67426099,8350665.91,811889.17,888177.15,6134.899331,596.4624114,652.5081307,539,537,3057780477,8,115,228,1,2,2,Eclipse,1,2,2,0,0,0,3
