Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star C/H,Star C/H Error,Star O/H,Star O/H Error,Star N/H,Star N/H Error,Star C/O,Star N/O,Star C/N,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star Rotational Velocity [km/s],Star Rotational Velocity Error Lower [km/s],Star Rotational Velocity Error Upper [km/s],Star Rotation Period [days],Star Rotation Period Error Lower [days],Star Rotation Period Error Upper [days],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star Parallax [mas],Star Parallax Error Lower [mas],Star Parallax Error Upper [mas],HD ID,HIP ID,TIC ID,Gaia DR3 ID,Star B Mag,Star V Mag,Star H Mag,Star I Mag,Star J Mag,Star Ks Mag,Star u Mag,Star g Mag,Star r Mag,Star i Mag,Star z Mag,Star TESS Mag,Star Kepler Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star RA,Star Dec,Coordinate Source,Coordinate Ref Epoch,Proper Motion [mas/yr],Total Proper Motion Error Lower [mas/yr],Total Proper Motion Error Upper [mas/yr],RA Proper Motion [mas/yr],RA Proper Motion Error Lower [mas/yr],RA Proper Motion Error Upper [mas/yr],Dec Proper Motion [mas/yr],Dec Proper Motion Error Lower [mas/yr],Dec Proper Motion Error Upper [mas/yr],2MASS RA,2MASS Dec,Planet Name,Planet Radius [Rjup],Planet Radius Error Lower [Rjup],Planet Radius Error Upper [Rjup],Planet Radius [Re],Rp/Rs,Rp/Rs Error Lower,Rp/Rs Error Upper,Msin(i) [Mjup],Msin(i) Error Lower [Mjup],Msin(i) Error Upper [Mjup],Planet Mass [Mjup],Planet Mass Error Lower [Mjup],Planet Mass Error Upper [Mjup],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Mass Flag,Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Error Lower [m/s],Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Density [g/cm3],Planet Density Error Lower [g/cm3],Planet Density Error Upper [g/cm3],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Transit Temperature [K],Planet Eclipse Temperature [K],Planet Insolation Flux [W/m2],Planet Insolation Flux Error Upper [W/m2],Planet Insolation Flux Error Lower [W/m2],Planet Insolation Flux [Earth],Planet Insolation Flux Error Upper [Earth],Planet Insolation Flux Error Lower [Earth],Planet Semi-major Axis [au],Planet Semi-major Axis Error Lower [au],Planet Semi-major Axis Error Upper [au],Planet Semi-major Axis [m],a/Rs,a/Rs Error Lower,a/Rs Error Upper,Inclination,Inclination Error Lower,Inclination Error Upper,Eccentricity,Eccentricity Error Lower,Eccentricity Error Upper,Periastron,Periastron Error Lower,Periastron Error Upper,Projected Obliquity,Projected Obliquity Error Lower,Projected Obliquity Error Upper,True Obliquity,True Obliquity Error Lower,True Obliquity Error Upper,Transit,Transit Impact Parameter,Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hrs],Transit Duration Error Lower [hrs],Transit Duration Error Upper [hrs],Transit Duration T14 [s],Transit Duration T12 [s],Transit Duration T23 [s],Eclipse,Eclipse Impact Parameter,Eclipse Depth [%],Eclipse Depth Error Lower [%],Eclipse Depth Error Upper [%],Eclipse Duration E14 [s],Eclipse Duration E12 [s],Eclipse Duration E23 [s],Eclipse Mid Time,Transit Flag,RV Flag,Survey,Discovery Year,Publication,Publication Date,Controversial Flag,Solution Type,Number of Transmission Spectra,Number of Emission Spectra,TTV Flag,Eclipse Flag,Planet Albedo,Mean Molecular Weight,Heat Redistribution Factor,In PLATO FOV,No. Desired Parameters,Inferred Parameters,ExoClock Orbital Parameters,ExoClock Priority,ExoClock Ephemeris,Uniform Stellar Parameters,Calculated Parameters,Assumed Parameters,Replaced Values,Available Transits,Available Eclipses,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
KPS-1,0.892,-0.1,0.09,5165,-90,90,0.907,-0.082,0.086,4.47,-0.06,0.06,0.22,-0.13,0.13,[Fe/H],,,,,,,,,,,,,K1 V,5.1,-1,1,,,,262.706,-2.57,2.62,3.778,-0.0373158,0.0373158,,,TIC 99834717,Gaia DR3 1055895483267019392,13.949,12.97,11.029,,11.41,10.931,15.8115,14.0546,13.6166,13.3087,12.6538,12.212,,12.7933,10.852,10.919,10.801,9.018,165.167198,64.9638452,NEA,J2000,39.4033699,-0.0457915,0.0457915,-22.3885,-0.0444576,0.0444576,-32.425,-0.0464139,0.0464139,,,KPS-1b,1.03,-0.12,0.13,11.54525015,0.1143,-0.0034,0.0037,,,,1.09,-0.087,0.086,346.4329632,27.33324297,-27.65107137,FALSE,198.7,-5.5,5.5,,,,1.31,-0.36,0.49,1.70632564,4.00E-07,4.00E-07,1446.209224,1446.209224,1446.209224,988931.96,270192.83,170915.71,726.5286487,198.4998358,125.5649174,0.0269,-0.001,0.001,4024182722,6.377469667,,,83.2,-0.9,0.88,0,,,0,,,,,,,,,TRUE,0.755117716,2459291.48,0.00013,0.00013,1.361854662,,,1.68,-0.048,0.0552,6089.38349,1328.076289,3433.230911,TRUE,0.755117716,,,,6089.38349,1328.076289,3433.230911,2459292.333,1,1,Acton Sky Portal Observatory,2018,<a refstr=BURDANOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASP..130g4401B/abstract target=ref>Burdanov et al. 2018</a>,2018-07,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,10,,FALSE,low,TRUE,FALSE," a/Rs, Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ",,345,349,7,97,195,1,5,10,Eclipse,1,5,10,yellow,green,green,2
L168-9,0.614,-0.055,0.055,3842,-32,32,0.604,-0.037,0.037,4.84,-0.08,0.08,-0.03,-0.03,0.03,[Fe/H],,,,,,,,,,,,,M0.5 V,,,,29,-2,2,25.1496,-0.0239,0.0239,39.7331,-0.0375264,0.0375264,,HIP 115211,TIC 234994474,Gaia DR3 6491962300492857472,12.46,11.005,7.32,9.06,7.941,7.082,,11.752,10.416,9.675,,9.22978,,10.2316,6.928,6.984,6.906,6.897,350.0285917,-60.0657292,NEA,J2000,344.5330543,-0.1039992,0.1039992,-319.961,-0.102122,0.102122,-127.781,-0.115073,0.115073,,,L168-9b,0.14541911,-0.01248998,0.01248998,1.630000002,0.0247,-0.001,0.0015,,,,0.01280565,-0.00141586,0.00141586,4.069999335,0.450000528,-0.450000528,FALSE,3.2,-0.3,0.29,,,,5.18,-1.46,1.46,1.40152604,-8.20E-07,7.40E-07,998.3376738,998.3376738,998.3376738,202268.39,20734.15,19711.34,148.5984739,15.23254844,14.48113095,0.0208,-0.0006,0.0006,3111635711,7.405080858,,,84.27,-1.01,1.01,0,,,90,,,,,,,,,TRUE,0.739328797,2459082.857,-0.00037,0.00041,0.06121248,,,1.02,-0.19,0.19,3717.423517,192.8607518,3331.702013,TRUE,0.739328797,,,,3717.423517,192.8607518,3331.702013,2459083.558,1,1,Transiting Exoplanet Survey Satellite (TESS),2020,<a refstr=HOBSON_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.216H/abstract target=ref>Hobson et al. 2024</a>,2024-08,0,Published Confirmed,8,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,10,,FALSE,,,FALSE," a/Rs, Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ",,403,403,5,41,79,54,280,561,Transit,5,41,79,green,green,green,1
L98-59,0.273,-0.03,0.03,3415,-135,135,0.303,-0.023,0.026,4.86,-0.13,0.13,-0.46,-0.26,0.26,[Fe/H],,,,,,,,,,5.4,-4.6,4.6,M3 V,,,,80.9,-5.3,5,10.6194,-0.0032,0.0032,94.1385,-0.0280547,0.0280547,,,TIC 307210830,Gaia DR3 5271055243163629056,13.218,11.685,7.359,,7.933,7.101,,12.453,11.065,,,9.41242,,10.5976,6.935,6.767,6.703,6.578,124.5328604,-68.3144658,NEA,J2000,353.4129312,-0.0521271,0.0521271,94.7675,-0.0536201,0.0536201,-340.47,-0.0520096,0.0520096,124.531756,-68.31300149,L98-59b,0.07583205,-0.00419307,0.00544206,0.849999987,0.02512,-0.00064,0.00072,,,,0.00125854,-0.00047195,0.00050342,0.399999763,0.160001176,-0.149999116,FALSE,0.46,-0.17,0.2,,,,3.6,-1.5,1.4,2.2531179,2.70E-06,2.70E-06,623.4908446,620.076684,633.5008446,31440.79,7723.73,6503.83,23.09828744,5.674314662,4.778103057,0.02191,-0.00084,0.0008,3277689347,15,-1,1.4,87.71,-0.44,1.16,0.103,-0.045,0.117,192,-155,70,,,,,,,TRUE,0.605979363,2459170.533,0.00033,0.00033,0.066144117,,,0.992,-0.032,0.09,3476.445232,132.9256356,3210.593961,TRUE,0.580569532,,,,3403.359683,124.4348301,3154.490023,2459171.515,1,1,Transiting Exoplanet Survey Satellite (TESS),2019,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,2021-09,0,Published Confirmed,14,0,FALSE,FALSE,0.2,2.3,0.8,TRUE,13,,FALSE,high,TRUE,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Age [Gyr], ",553,553,1,4,6,744,4037,6969,Transit,1,4,6,green,green,green,2
L98-59,0.273,-0.03,0.03,3415,-135,135,0.303,-0.023,0.026,4.86,-0.13,0.13,-0.46,-0.26,0.26,[Fe/H],,,,,,,,,,5.4,-4.6,4.6,M3 V,,,,80.9,-5.3,5,10.6194,-0.0032,0.0032,94.1385,-0.0280547,0.0280547,,,TIC 307210830,Gaia DR3 5271055243163629056,13.218,11.685,7.359,,7.933,7.101,,12.453,11.065,,,9.41242,,10.5976,6.935,6.767,6.703,6.578,124.5328604,-68.3144658,NEA,J2000,353.4129312,-0.0521271,0.0521271,94.7675,-0.0536201,0.0536201,-340.47,-0.0520096,0.0520096,124.531756,-68.31300149,L98-59c,0.12356164,-0.00669106,0.00847535,1.385000042,0.04088,-0.00056,0.00068,,,,0.0069849,-0.00078659,0.00081805,2.219999637,0.259999528,-0.250000646,FALSE,2.19,-0.2,0.17,,,,4.57,-0.85,0.77,3.69067509,7.40E-07,7.40E-07,553.9861532,527.8589878,584.5920352,20855.77,4471.21,3291.75,15.32189777,3.284818664,2.418316705,0.0304,-0.0012,0.0011,4547775269,19,-0.8,1.2,88.11,-0.16,0.36,0.103,-0.058,0.045,261,-10,20,,,,,,,TRUE,0.69020164,2459245.654,0.00013,0.00013,0.175611502,,,1.346,-0.069,0.122,4612.988176,335.1067044,3942.774767,TRUE,0.562737738,,,,4227.084349,239.0270088,3749.030331,2459247.461,1,1,Transiting Exoplanet Survey Satellite (TESS),2019,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,2021-09,0,Published Confirmed,5,0,TRUE,FALSE,0.2,2.3,0.8,TRUE,13,,FALSE,high,TRUE,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Age [Gyr], ",337,338,1,6,11,189,988,1654,Transit,1,6,11,green,green,green,2
L98-59,0.273,-0.03,0.03,3415,-135,135,0.303,-0.023,0.026,4.86,-0.13,0.13,-0.46,-0.26,0.26,[Fe/H],,,,,,,,,,5.4,-4.6,4.6,M3 V,,,,80.9,-5.3,5,10.6194,-0.0032,0.0032,94.1385,-0.0280547,0.0280547,,,TIC 307210830,Gaia DR3 5271055243163629056,13.218,11.685,7.359,,7.933,7.101,,12.453,11.065,,,9.41242,,10.5976,6.935,6.767,6.703,6.578,124.5328604,-68.3144658,NEA,J2000,353.4129312,-0.0521271,0.0521271,94.7675,-0.0536201,0.0536201,-340.47,-0.0520096,0.0520096,124.531756,-68.31300149,L98-59d,0.13569476,-0.00874299,0.01061649,1.52099995,0.0448,-0.001,0.00106,,,,0.00610392,-0.00088098,0.00088098,1.939999168,0.28000047,-0.28000047,FALSE,1.5,-0.19,0.22,,,,2.95,-0.51,0.79,7.4507307,2.60E-06,2.60E-06,415.9688023,417.1124239,417.1124239,6488,1550.32,1291,4.766473391,1.138957927,0.948445923,0.0486,-0.0019,0.0018,7270456516,33.7,-1.7,1.9,88.449,-0.111,0.058,0.074,-0.046,0.057,180,-50,27,,,,,,,TRUE,0.907154569,2459174.869,0.00021,0.00021,0.211793089,,,0.84,-0.2,0.15,3144.376139,664.9108158,1814.554508,TRUE,0.907154569,,,,3144.37614,664.9118878,1814.552364,2459178.244,1,1,Transiting Exoplanet Survey Satellite (TESS),2019,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,2021-09,0,Published Confirmed,1,0,TRUE,FALSE,0.2,2.3,0.8,TRUE,13,,FALSE,high,TRUE,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ","Star Age [Gyr], ",166,166,1,6,11,4619,23344,56080,Transit,1,6,11,green,green,green,2
LHS1140,0.1844,-0.0045,0.0045,3096,-48,48,0.2159,-0.003,0.003,5.041,-0.016,0.016,-0.15,-0.09,0.09,[Fe/H],,,,,,,,,,5,,,M4.5 V,,,,131,-5,5,14.9861,-0.0152,0.0153,66.6996,-0.0673611,0.0673611,,,TIC 92226327,Gaia DR3 2371032916186181760,15.881,14.15,9.092,11.19,9.612001,8.821,,,,,,11.2991,,12.6706,8.606,8.391,8.235,8.133,11.248632,-15.2741085,NEA,J2000,675.8787442,-0.0942503,0.0942503,317.585,-0.120648,0.120648,-596.617,-0.0852977,0.0852977,,,LHS1140b,0.15434053,-0.00223035,0.00223035,1.730000027,0.073462007,-0.000408374,0.000408374,,,,0.01761957,-0.00059781,0.00059781,5.599999858,0.190001,-0.190001,FALSE,3.8,-0.11,0.11,,,,5.9,-0.3,0.3,24.737216,1.20E-05,1.20E-05,225.5355477,225.5355477,225.5355477,512.72,99.54,76.01,0.376674821,0.073128046,0.055841499,0.0946,-0.0017,0.0017,14151958568,94.21974028,,,89.86,-0.04,0.04,0,,,0,,,,,,,,,TRUE,0.230222027,2458103.084,7.40E-05,7.40E-05,0.538,-0.006,0.006,2.15,-0.05,0.05,7570.853049,545.1992856,6480.454478,TRUE,0.230222027,,,,7570.853049,545.1992856,6480.454478,2458115.453,1,1,MEarth Project,2017,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,2024-01,0,Published Confirmed,3,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,10,,FALSE,high,TRUE,FALSE," a/Rs, Rp/Rs, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ",,13,14,4,34,66,3312490,50403520,124711868,Transit,4,34,66,orange,green,green,1
LHS1140,0.1844,-0.0045,0.0045,3096,-48,48,0.2159,-0.003,0.003,5.041,-0.016,0.016,-0.15,-0.09,0.09,[Fe/H],,,,,,,,,,5,,,M4.5 V,,,,131,-5,5,14.9861,-0.0152,0.0153,66.6996,-0.0673611,0.0673611,,,TIC 92226327,Gaia DR3 2371032916186181760,15.881,14.15,9.092,11.19,9.612001,8.821,,,,,,11.2991,,12.6706,8.606,8.391,8.235,8.133,11.248632,-15.2741085,NEA,J2000,675.8787442,-0.0942503,0.0942503,317.585,-0.120648,0.120648,-596.617,-0.0852977,0.0852977,,,LHS1140c,0.11348043,-0.00231957,0.00231957,1.271999953,0.054013681,-0.000833122,0.000833122,,,,0.00600953,-0.00018878,0.00018878,1.909999344,0.059999647,-0.059999647,FALSE,2.42,-0.07,0.07,,,,5.1,-0.4,0.4,3.7779357,3.20E-06,3.20E-06,422.1615628,422.1615628,422.1615628,5915.8,622.67,609.94,4.346101,0.457450676,0.448098456,0.027,-0.0005,0.0005,4039142509,26.89146921,,,89.8,-0.19,0.14,0,,,0,,,,,,,,,TRUE,0.093868745,2458226.844,2.60E-05,2.60E-05,0.29,-0.009,0.009,1.13,-0.02,0.02,4057.271099,209.7664301,3637.738239,TRUE,0.093868745,,,,4057.271099,209.7664301,3637.738239,2458228.733,1,1,Multiple Observatories,2018,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,2024-01,0,Published Confirmed,1,1,FALSE,TRUE,0.2,2.3,0.8,FALSE,10,,FALSE,high,TRUE,FALSE," a/Rs, Rp/Rs, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ",,93,91,2,13,26,3800,24270,57772,Transit,2,13,26,orange,green,green,2
LHS1478,0.236,-0.012,0.012,3381,-54,54,0.246,-0.008,0.008,4.87,-0.06,0.06,-0.13,-0.19,0.19,[Fe/H],,,,,,,,,,,,,m3 V,2,,,,,,18.2276,-0.011,0.011,54.8329,-0.0328048,0.0328048,,,TIC 396562848,Gaia DR3 549007291282705024,14.971,13.304,9.028,,9.615,8.767,16.7301,15.2522,12.9473,14.8547,12.3572,11.0548,,12.2598,,,,,44.3388743,76.5514045,NEA,J2000,798.2974712,-0.0513015,0.0513015,691.036,-0.0509689,0.0509689,-399.685,-0.052283,0.052283,,,LHS1478b,0.11080401,-0.00437149,0.00454992,1.242000013,0.0462,-0.001,0.0011,,,,0.007331,-0.00062927,0.00062927,2.330000049,0.199999881,-0.199999881,FALSE,3.13,-0.25,0.23,,,,6.67,-0.89,1.03,1.9495387,1.30E-06,1.30E-06,595.4716986,595.4716986,595.4716986,28896.68,1796.2,1700.14,21.22923186,1.319596101,1.249024672,0.01848,-0.00063,0.00061,2764568651,16.119,-0.094,0.088,87.452,-0.048,0.052,0,,,0,,,,,,,,,TRUE,0.716591626,2459597.762,0.00035,0.00035,0.21424546,,,0.705,-0.011,0.011,2538.92078,221.2654683,2096.389844,TRUE,0.716591626,,,,2538.92078,221.2654683,2096.389844,2459598.737,1,1,Transiting Exoplanet Survey Satellite (TESS),2021,<a refstr=SOTO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.144S/abstract target=ref>Soto et al. 2021</a>,2021-05,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,11,,FALSE,high,TRUE,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Eccentricity, Eccentricity, Eccentricity, Eccentricity, ",,363,362,3,28,56,481,3549,6263,Transit,3,28,56,yellow,green,green,1
LHS1678,0.345,-0.014,0.014,3490,-50,50,0.329,-0.01,0.01,,,,,,,,,,,,,,,,,7,-3,2,M2.0 V,0.53,,,64,-22,22,19.8782,-0.0094,0.0094,50.2773,-0.0236008,0.0236008,,,TIC 77156829,Gaia DR3 4864160624337973248,,12.6,8.501,,9.020001,8.264,,,,,,10.4276,,11.5403,,,,,68.1789866,-39.7908744,NEA,J2000,996.9452302,-0.0500662,0.0500662,239.41,-0.0414089,0.0414089,-967.772,-0.0505479,0.0505479,,,LHS1678b,0.06111171,-0.0031225,0.00330092,0.68499998,0.01905,-0.0008,0.00087,,,,0.001195614,-0.000566343,0.001101223,0.38,0.35,-0.18,TRUE,,,,0.519530802,0.478515212,0.246093538,,,,0.8602322,6.80E-06,6.80E-06,868.1699485,863.0246867,874.2253135,127223.86,12610.29,10975.39,93.46626748,9.264274312,8.063178852,0.01239,-0.00057,0.00056,1853517618,8.08,-0.28,0.29,88.53,-1.14,1.02,0.033,-0.023,0.035,-23,-103,140,,,,,,,TRUE,0.209759421,2459121.169,0.0052,0.0052,0.036435771,,,0.801,-0.049,0.046,2964.863645,58.2074362,2848.448773,TRUE,0.204418953,,,,2892.772612,56.66469764,2779.443217,2459121.616,1,0,Transiting Exoplanet Survey Satellite (TESS),2021,<a refstr=SILVERSTEIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..255S/abstract target=ref>Silverstein et al. 2024</a>,2024-06,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,TRUE,12,,FALSE,high,TRUE,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Planet Mass, ",,1125,1126,2,22,43,590,3808,7762,Transit,2,22,43,green,green,green,1
LHS1678,0.345,-0.014,0.014,3490,-50,50,0.329,-0.01,0.01,,,,,,,,,,,,,,,,,7,-3,2,M2.0 V,0.53,,,64,-22,22,19.8782,-0.0094,0.0094,50.2773,-0.0236008,0.0236008,,,TIC 77156829,Gaia DR3 4864160624337973248,,12.6,8.501,,9.020001,8.264,,,,,,10.4276,,11.5403,,,,,68.1789866,-39.7908744,NEA,J2000,996.9452302,-0.0500662,0.0500662,239.41,-0.0414089,0.0414089,-967.772,-0.0505479,0.0505479,,,LHS1678c,0.08395054,-0.00446071,0.00454992,0.940999985,0.0262,-0.0012,0.0011,,,,0.003209279,-0.00106976,0.001604639,1.02,0.51,-0.34,TRUE,,,,0.858227786,0.429113893,0.286075929,,,,3.694247,2.40E-06,2.40E-06,533.9613285,538.4239623,530.2807536,18175.22,2122.45,1763.64,13.35260519,1.559278892,1.295675575,0.0327,-0.0015,0.0015,4891850372,21.36,-0.75,0.78,88.82,-0.26,0.4,0.039,-0.025,0.04,23,-143,109,,,,,,,TRUE,0.432614202,2459120.361,0.004,0.004,0.06875845,,,1.23,-0.07,0.1,4358.75405,136.2122711,4086.329508,TRUE,0.446003023,,,,4462.99081,141.4507762,4180.089257,2459122.292,1,0,Transiting Exoplanet Survey Satellite (TESS),2021,<a refstr=SILVERSTEIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..255S/abstract target=ref>Silverstein et al. 2024</a>,2024-06,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,TRUE,12,,FALSE,high,TRUE,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Planet Mass, ",,262,262,4,41,81,6246,42203,74268,Transit,4,41,81,green,green,green,1
LHS1678,0.345,-0.014,0.014,3490,-50,50,0.329,-0.01,0.01,,,,,,,,,,,,,,,,,7,-3,2,M2.0 V,0.53,,,64,-22,22,19.8782,-0.0094,0.0094,50.2773,-0.0236008,0.0236008,,,TIC 77156829,Gaia DR3 4864160624337973248,,12.6,8.501,,9.020001,8.264,,,,,,10.4276,,11.5403,,,,,68.1789866,-39.7908744,NEA,J2000,996.9452302,-0.0500662,0.0500662,239.41,-0.0414089,0.0414089,-967.772,-0.0505479,0.0505479,,,LHS1678d,0.08751911,-0.00642342,0.00624499,0.981000018,0.0273,-0.0018,0.0017,,,,0.003649768,-0.00116415,0.001730494,1.16,0.55,-0.37,TRUE,,,,0.884118235,0.419193991,0.28200323,,,,4.9652229,-7.50E-06,9.60E-06,483.8828758,487.5902783,480.7792432,12484.95,1083.68,973.32,9.172192041,0.796136234,0.715059168,0.04,-0.0017,0.0018,5983914828,26.01,-0.91,0.94,88.31,-0.13,0.14,0.036,-0.027,0.06,23,-132,109,,,,,,,TRUE,0.755460704,2459000.458,-0.00087,0.0009,0.074728261,,,1,-0.08,0.11,3603.761881,215.9918799,3171.778121,TRUE,0.777017027,,,,3578.034881,231.2897918,3115.455297,2459003.045,1,0,Transiting Exoplanet Survey Satellite (TESS),2024,<a refstr=SILVERSTEIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..255S/abstract target=ref>Silverstein et al. 2024</a>,2024-06,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,TRUE,12,,FALSE,,,FALSE," Transit Depth, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Planet Mass, ",,193,194,6,61,120,16708,95370,218835,Transit,6,61,120,green,green,green,1
LHS1903,0.538,-0.03,0.039,3664,-70,70,0.539,-0.014,0.014,4.75,-0.12,0.12,-0.11,-0.09,0.09,[Fe/H],,,,,,,,,,7.08,-1.98,2.87,M,,,,40.8,,,35.6917,-0.0833,0.0833,27.989,-0.0649198,0.0649198,,HIP 34730,TIC 318022259,Gaia DR3 978086481343568128,13.652,12.23,8.418,,9.061,8.212,,,,,,10.3595,,11.3944,,,,,107.865826,48.3279327,NEA,J2000,578.0940786,-0.0820067,0.0820067,-93.0762,-0.0909378,0.0909378,-570.552,-0.0817557,0.0817557,,,LHS1903c,0.18253221,-0.00660185,0.00695871,2.046000025,0.03479,-0.00088,0.00097,,,,0.0143159,-0.00217098,0.00229684,4.549999686,0.730000997,-0.689999114,FALSE,2.4,-0.35,0.37,,,,2.91,-0.52,0.6,6.226185,-2.60E-05,2.80E-05,559.0148291,536.9640488,584.5125165,22086.96,2333.76,2265.85,16.22640369,1.714519874,1.66462912,0.05387,-0.00117,0.00112,8058837295,21.48,-0.711,0.729,88.87657167,,,0.089,-0.03,0.036,288,-31,38,,,,,,,TRUE,0.456441819,2458844.369,-0.0021,0.0026,0.121,-0.006,0.0069,1.986,-0.134,0.125,8059.704591,339.5832907,7380.538009,TRUE,0.385201718,,,,7034.546041,276.3382627,6481.869516,2458847.592,1,1,Transiting Exoplanet Survey Satellite (TESS),2026,<a refstr=WILSON_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260211271W/abstract target=ref>Wilson et al. 2026</a>,2026-02,0,Published Confirmed,0,0,FALSE,FALSE,0.2,2.3,0.8,FALSE,13,,FALSE,,,FALSE," Inclination, ","Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",,63,64,4,33,65,779,4745,8174,Transit,4,33,65,green,green,green,1
